accession	biological_unit_recoverability	tissue_compartment	comparator_integrity	technical_duplication_status	expression_reconstruction	duplicate_cohort_status	source_integrity	principal_limitation
GSE123945	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	OTHER_RETINAL_COMPARTMENT	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Combined retina/choroid tissue differs from whole-retina and isolated-cell compartments.
GSE124956	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Animal/eye mapping is incomplete; the effect pertains to deposited sample/library units.
GSE130400	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Animal/eye mapping is incomplete; the effect pertains to deposited sample/library units.
GSE132731	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	ENRICHED_OR_ISOLATED_CELL_COMPARTMENT	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Cell enrichment/selection changes the biological compartment relative to whole-retina datasets.
GSE135844	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Animal/eye mapping is incomplete; the effect pertains to deposited sample/library units.
GSE158799	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Animal/eye mapping is incomplete; the effect pertains to deposited sample/library units.
GSE194176	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Animal/eye mapping is incomplete; the effect pertains to deposited sample/library units.
GSE216676	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	ENRICHED_OR_ISOLATED_CELL_COMPARTMENT	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Cell enrichment/selection changes the biological compartment relative to whole-retina datasets.
GSE230668	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Animal/eye mapping is incomplete; the effect pertains to deposited sample/library units.
GSE234447	INDEPENDENT_ANIMAL_OR_RETINAL_UNIT_RECOVERABLE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Independent units are recoverable, but the estimate remains accession-specific.
GSE241239	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Animal/eye mapping is incomplete; the effect pertains to deposited sample/library units.
GSE289223	DEPOSITED_SAMPLE_OR_LIBRARY_RECOVERABLE; ANIMAL_MAPPING_INCOMPLETE	WHOLE_RETINA_OR_LYSATE	P17 OIR AND AGE-MATCHED NORMOXIA CONTRAST RECOVERABLE	NO EXPLICIT TECHNICAL-DUPLICATE COLLAPSE REQUIRED FROM DEPOSITED METADATA	ADORA2A SAMPLE-LEVEL EXPRESSION RECONSTRUCTED OR EXTRACTED WITHIN ACCESSION	UNIQUE COHORT	PUBLIC REPOSITORY METADATA AND EXPRESSION SOURCE CROSS-CHECKED	Animal/eye mapping is incomplete; the effect pertains to deposited sample/library units.
