accession	exact_specimen	compartment_category	compartment_evidence	source_reference
GSE123945	cryopreserved retina/choroid tissue	OTHER_RETINAL_COMPARTMENT	GEO sample source_name and characteristics identify Retina/coroid; series design states RNA from cryopreserved retinal tissues	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123945
GSE124956	pooled whole retinal cups (four retinas from two mice per deposited sample)	WHOLE_RETINA_OR_LYSATE	GEO protocol states total RNA was isolated from whole retinas and that two entire retinas from each of two mice were pooled	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124956
GSE130400	murine retina	WHOLE_RETINA_OR_LYSATE	GEO sample source_name is Murine retina; the series is the retina arm of the three-time-point OIR experiment	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130400
GSE132731	flow-sorted CD45low CD11b+ tdTomato+ Ly6C- Ly6G- retinal microglia	ENRICHED_OR_ISOLATED_CELL_COMPARTMENT	GEO sample characteristics and source_name explicitly identify isolated retinal microglia	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132731; PMID:32150307
GSE135844	single pup retina	WHOLE_RETINA_OR_LYSATE	GEO sample source_name is pup retina at P17; extraction protocol states one retina from each pup was used for total RNA isolation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135844
GSE158799	freshly dissected retina lysate	WHOLE_RETINA_OR_LYSATE	GEO title and source_name identify retina lysates; extraction protocol states total RNA was isolated from freshly dissected retina lysates	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158799; PMID:33548171
GSE194176	whole retina	WHOLE_RETINA_OR_LYSATE	GEO sample tissue is retina and the protocol states that retinas were collected, flash-cryopreserved and processed with TRIzol	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194176
GSE216676	retina-derived CD31-enriched single-cell suspension	ENRICHED_OR_ISOLATED_CELL_COMPARTMENT	GEO design and sample protocol state retinal dissociation followed by CD31 microbead enrichment before Drop-seq	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216676; PMID:40562775
GSE230668	retina tissue	WHOLE_RETINA_OR_LYSATE	GEO sample source_name and characteristics identify retina; total RNA was extracted with TRIzol without a reported cell-enrichment step	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230668
GSE234447	one fellow retina or both retinas pooled within one animal	WHOLE_RETINA_OR_LYSATE	GEO extraction protocol states that the fellow retina or both eyes pooled within an animal were processed for retinal RNA extraction	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234447; PMID:38153746
GSE241239	retina tissue	WHOLE_RETINA_OR_LYSATE	GEO source_name and characteristics identify retina; total retinal RNA was extracted with TRIzol	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241239
GSE289223	retinal tissue	WHOLE_RETINA_OR_LYSATE	GEO source_name and characteristics identify retina; the series design describes RNA-seq of retinal tissue	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289223; PMID:40042877
GSE301407	retina tissue lysate	WHOLE_RETINA_OR_LYSATE	GEO design states bulk RNA-seq of retinas; the extraction protocol starts from a homogenized tissue sample without enrichment	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301407
GSE315511	one whole retina per RNA extraction	WHOLE_RETINA_OR_LYSATE	GEO extraction protocol explicitly states that one whole retina was used for each RNA extraction	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315511; PMID:41944819
PRJNA1227125	mouse retina tissue	WHOLE_RETINA_OR_LYSATE	BioProject/SRA study abstract states that treated mouse retinas were analyzed by mRNA-seq; BioSample tissue is Retina	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1227125
PRJNA1347474	newborn mouse retina tissue	WHOLE_RETINA_OR_LYSATE	SRA experiment design states that mouse retinas were dissected in RNAlater; BioSample tissue is Retina	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1347474
