accession	publication	platform	retinal_tissue_or_compartment	age	OIR_definition	control_definition	treatment_control_arm_status	sample_ID	group	animal_ID	eye_laterality	pooling	technical_replicate_ID	recoverability_evidence	unit_status	primary_action	source_evidence	Adora2a_expression_used_pre_audit
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	FPKM	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	WTNM1	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	0.84799690655495
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	FPKM	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	WTNM2	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	0.400537929583729
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	FPKM	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	WTNM3	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	0.545968369105292
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	FPKM	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	WTNM4	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	1.09761079662642
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	FPKM	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	WTHP1	OIR	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	1.23266075679027
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	FPKM	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	WTHP2	OIR	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	0.782408564927373
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	FPKM	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	WTHP3	OIR	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	1.23266075679027
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	FPKM	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	WTHP4	OIR	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	0.887525270741587
GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	author_normalized_log	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	SAMPLE 10	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz	7.216544594
GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	author_normalized_log	retinal OIR-relevant deposited sample/library	P17	P17 OIR group identified in official record	P17 normoxia/room-air comparator identified in official record	eligible predefined OIR-control contrast	SAMPLE 11	Normoxia	not deposited	not deposited	not completely recoverable	none identified	distinct deposited retinal biological samples/libraries; no technical duplication identified	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz	7.432405015
