accession	unit_class	primary_action	deposited_units	disease_units	control_units	animal_level_structure
GSE123945	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	8	4	4	UNRESOLVED_OR_EXCLUDED
GSE124956	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	6	3	3	UNRESOLVED_OR_EXCLUDED
GSE130400	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	25	13	12	UNRESOLVED_OR_EXCLUDED
GSE132731	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	16	8	8	UNRESOLVED_OR_EXCLUDED
GSE135844	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	6	3	3	UNRESOLVED_OR_EXCLUDED
GSE158799	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	6	3	3	UNRESOLVED_OR_EXCLUDED
GSE194176	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	6	3	3	UNRESOLVED_OR_EXCLUDED
GSE216676	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	5	3	2	UNRESOLVED_OR_EXCLUDED
GSE230668	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	4	2	2	UNRESOLVED_OR_EXCLUDED
GSE234447	ANIMAL_LEVEL_UNIT_RECOVERABLE	RETAIN_PRIMARY_AND_STRICT_SENSITIVITY	14	8	6	STRONGER_PUBLIC_RECOVERY
GSE241239	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	12	6	6	UNRESOLVED_OR_EXCLUDED
GSE259255	UNRESOLVED_UNIT_AND_INTERNALLY_INCONGRUENT_SOURCE_PROTOCOL	EXCLUDE_PRIMARY_PENDING_SOURCE_CLARIFICATION	6	3	3	UNRESOLVED_OR_EXCLUDED
GSE289223	DEPOSITED_RETINAL_BIOLOGICAL_REPLICATES_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	6	3	3	UNRESOLVED_OR_EXCLUDED
GSE301407	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLES_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	6	3	3	UNRESOLVED_OR_EXCLUDED
GSE315511	INDEPENDENT_RETINAL_UNITS_CONFIRMED	RETAIN_PRIMARY_AND_STRICT_SENSITIVITY	8	4	4	STRONGER_PUBLIC_RECOVERY
PRJNA1227125	DEPOSITED_RETINAL_BIOLOGICAL_LIBRARY_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	6	3	3	UNRESOLVED_OR_EXCLUDED
PRJNA1347474	DEPOSITED_RETINAL_BIOLOGICAL_LIBRARY_WITH_UNRESOLVED_ANIMAL_MAPPING	RETAIN_PRIMARY_DEPOSITED_SAMPLE_SYNTHESIS	4	2	2	UNRESOLVED_OR_EXCLUDED
