study	n_disease	n_control	mean_disease	mean_control	sd_disease	sd_control	hedges_g	sampling_variance	ci95_low	ci95_high
GSE123945	4	4	1.03381383731238	0.723028500467598	0.23358449610652	0.311597741510145	0.980348541304631	0.560067703902382	-0.486442862181806	2.44713994479107
GSE124956	3	3	7.34705523766667	7.31693027366667	0.0770868873020532	0.10871839851221	0.255055506983776	0.672087775970229	-1.35174177807789	1.86185279204544
GSE130400	13	12	0.783107757307692	0.3215659345	0.661346313599866	0.621323694452716	0.694609867245036	0.169906067609894	-0.113280695956118	1.50250043044619
GSE132731	8	8	-5.26315295754137	-5.24209759066232	0.861727202747586	0.921280773549794	-0.0223131779249033	0.25001555868466	-1.00232566418207	0.957699308332264
GSE135844	3	3	7.69633666666667	7.69214666666667	0.174808844265195	0.356982504379884	0.0118945469474434	0.666678456687257	-1.58842349582031	1.6122125897152
GSE158799	3	3	2.51688768880001	1.84325494384545	0.0205814430856898	0.247641438760946	3.05886420410476	1.44638751826279	0.701696817139533	5.41603159106998
GSE194176	3	3	1.06097911492579	0.963676439536426	0.230523949846058	0.0590441911655181	0.461387809841143	0.684406559255834	-1.16006820682852	2.0828438265108
GSE216676	3	2	4.32113679641321	4.11847800879896	0.886801183673258	0.199234023015625	0.200019297677873	0.837334105277688	-1.59346459814807	1.99350319350381
GSE230668	2	2	6.852276	6.713777	0.044530756652004	0.199491793535474	0.540633145980595	1.03653552481661	-1.45481380514829	2.53608009710948
GSE234447	8	6	6.60707801294954	5.42126204688295	0.289038695754676	0.286516083450614	3.85379224668836	0.822085048117928	2.07671434759295	5.63087014578377
GSE241239	6	6	2.61786752842638	1.55040717202043	0.336885333792541	0.391590573777298	2.69666761375146	0.636334009127333	1.13319363179018	4.26014159571274
GSE289223	3	3	2.55699303926423	1.09245693695798	0.120153865088388	0.478688134493985	3.34838177029191	1.60097170663527	0.868448931657816	5.82831460892601
GSE301407	3	3	1.58975703375608	0.760469178482362	0.298561197442002	0.409258769446629	1.84716358744032	0.951001109897117	-0.0641792918213191	3.75850646670196
GSE315511	4	4	-0.906821052153311	-0.445829360111484	1.60920381881529	1.4891935717937	-0.25828168708011	0.504169339367559	-1.64995181891345	1.13338844475323
PRJNA1227125	3	3	2.06220492637404	1.23930389408655	0.384742975821526	0.295261967047732	1.91459862247298	0.972140657097953	-0.017870860381616	3.84706810532758
PRJNA1347474	2	2	0.955288180925318	-2.14248062826039	0.0817625482067318	2.6877309027528	0.919183924992174	1.1056123859955	-1.14168105177149	2.98004890175584
