study	sample_id	group	Adora2a	unit_status	source_evidence
GSE123945	WTNM1	Normoxia	0.84799690655495	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE123945	WTNM2	Normoxia	0.400537929583729	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE123945	WTNM3	Normoxia	0.545968369105292	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE123945	WTNM4	Normoxia	1.09761079662642	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE123945	WTHP1	OIR	1.23266075679027	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE123945	WTHP2	OIR	0.782408564927373	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE123945	WTHP3	OIR	1.23266075679027	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE123945	WTHP4	OIR	0.887525270741587	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE124956	SAMPLE 10	Normoxia	7.216544594	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz
GSE124956	SAMPLE 11	Normoxia	7.432405015	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz
GSE124956	SAMPLE 12	Normoxia	7.301841212	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz
GSE124956	SAMPLE 13	OIR	7.271576852	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz
GSE124956	SAMPLE 14	OIR	7.343933102	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz
GSE124956	SAMPLE 15	OIR	7.425655759	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO record and processed matrix; release_input/GSE124956_normalized_data_matrix.txt.gz
GSE130400	GSM3737525	OIR	-0.22491452	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737526	OIR	-0.032981005	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737527	OIR	-0.37576008	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737528	OIR	0.5597466	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737529	OIR	1.395425	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737530	OIR	0.9023248	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737531	OIR	1.7356495	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737532	OIR	1.5723772	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
GSE130400	GSM3737533	OIR	0.77974945	DEPOSITED_RETINAL_BIOLOGICAL_SAMPLE_WITH_UNRESOLVED_ANIMAL_MAPPING	official GEO family SOFT and series/sample protocol; No linked publication in the GEO series record
