item	count
records_identified_total	1029
records_identified_GEO	219
records_identified_PubMed	141
records_identified_BioProject	50
records_identified_SRA	137
records_identified_Europe_PMC	144
records_identified_BioStudies	338
duplicates_or_component_records_removed	774
records_screened	255
records_excluded_before_report_assessment	199
reports_sought_for_retrieval	56
reports_not_retrieved	0
reports_assessed_for_eligibility	56
reports_excluded	40
reports_excluded_no_P17_contrast	12
reports_excluded_insufficient_replication	9
reports_excluded_wrong_tissue_or_modality	4
reports_excluded_no_recoverable_expression_or_contrast	7
reports_excluded_other	8
eligible_GEO_cohorts	14
eligible_non_GEO_cohorts	2
unique_eligible_cohorts_included	16
