source	record_id	title	query_id	date_identified	duplicate_of	screening_stage	decision	exclusion_reason	linked_accession_or_bioproject	final_cohort	source_url
GEO	GSE115949	Expression profiling of microRNAs in oxygen-induced retinal neovascularization in mice	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	miRNA profiling; sample-level Adora2a mRNA is not recoverable	GSE115949		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115949
GEO	GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE123945	GSE123945	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123945
GEO	GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE124956	GSE124956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124956
GEO	GSE130347	Murine model of oxygen-induced retinopathy - 3 time points [blood]	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	blood rather than retinal tissue/compartment	GSE130347		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130347
GEO	GSE130400	Murine model of oxygen-induced retinopathy - 3 time points [retina]	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE130400	GSE130400	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130400
GEO	GSE132731	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE132731	GSE132731	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132731
GEO	GSE135844	Progenitor cell combination normalizes retinal vascular development by enhancing pericyte ensheathment in the oxygen-induced retinopathy (OIR) model	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE135844	GSE135844	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135844
GEO	GSE137705	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P19]	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P19 collection; not P17	GSE137705		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137705
GEO	GSE150703	Single-cell RNAseq of Normoxic and OIR mouse retina by Drop-seq	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P17 contrast has only one deposited normoxia library, preventing study-level variance estimation	GSE150703		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150703
GEO	GSE150794	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P50]	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	P50 collection; not P17	GSE150794		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150794
GEO	GSE152928	A specific RIP3+ subpopulation of microglia promotes retinopathy through a hypoxia-triggered necroptotic mechanism	GEO_01-03_UNION	2026-08-11		eligibility_assessment	EXCLUDE	one deposited library per P17 group, preventing study-level variance estimation	GSE152928		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152928
GEO	GSE158799	C57Bl6J retina lysates in oxygen-induced retinopathy	GEO_01-03_UNION	2026-08-11		eligibility_assessment	INCLUDE_PRIMARY		GSE158799	GSE158799	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158799
