api_uid	returned_accession	normalized_accession	title	summary	organism	gds_type	n_samples	platform	pubmed_ids	entry_type	geo_url
200115949	GSE115949	GSE115949	Expression profiling of microRNAs in oxygen-induced retinal neovascularization in mice	The purpose of this study is to identify disease-related miRNAs in retinas of a mouse model of oxygen-induced retinopathy (OIR). OIR pups were exposed to 75% oxygen at postnatal day (P)7 for 5 days, and were returned to room air at P12. The miRNAs expression profiles in the retinas from OIR mice at P17 and room air controls were determined through microarray analysis. Expressions of significantly upregulated and downregulated miRNAs in the OIR retinas and controls were confirmed through quantitative real-time RT-PCR (qPCR). Compared to the room air controls, 3 miRNAs were significantly up-regulated, and 8 miRNAs were down-regulated in OIR retinas. Our findings indicated that several miRNAs were differentially expressed in the oxygen-induced retinal neovascularization, which might provide novel therapeutic targets in regulating retinal neovascular diseases.	Homo sapiens; Mus musculus; Rattus norvegicus	Non-coding RNA profiling by array	6	18058	31131231	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115949
200123945	GSE123945	GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	Retinopathy of prematurity (ROP) is a leading cause of childhood blindness, and exclusively affects infants born prematurely. In this study, we test the hypothesis that EMP2 contributes to neovascularization in a mouse model of the disease.  We show that EMP2 promotes neuronal VEGF signaling and that its downregulation reduces severity of neovascularization.	Mus musculus	Expression profiling by high throughput sequencing	16	21493	41829920	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123945
200124956	GSE124956	GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	We aimed at identifying the regulatory network of Aflibercept in the context of pathological neovascularization by using the oxygen-induced retinopathy mouse model as a surrogate of proliferative diabetic retinopathy Total RNA was collected from entire retinal cups dissected from mice subjected to the oxygen-induced retinopathy protocol and subsequently injected with Aflibercept either on postnatal day 13 (collection on day 14) or on postnatal day 13 and 15 (collection on day 17). Non-injected OIR littermates and age-matched mice housed in normoxic conditions were used as controls.	Mus musculus	Expression profiling by array	18	21877	31550048;34321516	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124956
200130347	GSE130347	GSE130347	Murine model of oxygen-induced retinopathy - 3 time points [blood]	To study early and late transcriptional changes introduced to blood and retinal tissue in murine oxygen-induced retinopathy (OIR). From blood MNCs total RNA was extracted at three time points: immediately after end of hyperoxia (P12), at P17 and P28.	Mus musculus	Expression profiling by array	66	21163		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130347
200130400	GSE130400	GSE130400	Murine model of oxygen-induced retinopathy - 3 time points [retina]	To study early and late transcriptional changes introduced to blood and retinal tissue in murine oxygen-induced retinopathy (OIR). From retinal cells RNA was extracted at three time points: immediately after end of hyperoxia (P12), at P17 and P28.	Mus musculus	Expression profiling by array	77	10787		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130400
200132731	GSE132731	GSE132731	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	Myeloid cells such as resident retinal microglia or infiltrating blood-derived macrophages accumulate in areas of retinal ischemia and neovascularization (RNV) and modulate neovascular eye disease. Their temporo-spatial distribution and biological function in this process, however, remain unclarified. We determined the extent of microglia proliferation and macrophage infiltration in areas of ischemia and RNV using Cx3cr1CreERT2:Rosa26-tdTomato mice and assessed the transcriptional profile of microglia in the oxygen-induced retinopathy (OIR) mouse model. We show that microglia are the predominant myeloid cell population in areas of RNV. Thirty percent of retinal microglia were EdU-positive indicating considerable expansion of local microglia. RNA-Seq revealed an enrichment of processes related to cell division and chemokine receptor binding. We propose that activated retinal MG alter their transcriptional profile, exhibit proliferative ability and are by far the most frequent myeloid cell population in areas of RNV in the OIR model thus presenting a potential target for future therapeutic approaches.	Mus musculus	Expression profiling by high throughput sequencing	16	15103	32150307	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132731
200135844	GSE135844	GSE135844	Progenitor cell combination normalizes retinal vascular development by enhancing pericyte ensheathment in the oxygen-induced retinopathy (OIR) model	Retinopathy of prematurity (ROP) is a disorder of the developing retina of preterm infants. ROP can lead to blindness due to abnormal angiogenesis that is the result of suspended vascular development and vaso-obliteration leading to severe retinal stress and hypoxia. We tested the hypothesis that a combined treatment with two human progenitor populations, the CD34+ cells, bone marrow-derived, and the endothelial colony-forming cells (ECFCs) synergistically protected the developing retinal vasculature in a murine model of ROP, the oxygen-induced retinopathy (OIR)., CD34+ cells alone, ECFCs alone, or a combination thereof were injected intravitreally at either P5 or P12 and pups were euthanized at P17. Retinas from OIR mice injected with ECFCs or the combined treatment revealed formation of the deep vascular plexus (DVP) while still in hyperoxia, with normal appearing connections between the superficial vascular plexus (SVP) and the DVP. The combination therapy prevented aberrant retinal neovascularization and was more effective anatomically and functionally at rescuing the ischemia phenotype than either cell type alone. The beneficial effect of the cell combination was the result of their ability to orchestrate an acceleration of vascular development and more rapid ensheathment of pericytes on the developing vessels.	Mus musculus	Expression profiling by array	30	8321	31672944	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135844
200137705	GSE137705	GSE137705	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P19]	We aimed at identifying the regulatory network of Aflibercept in the context of pathological neovascularization by using the oxygen-induced retinopathy mouse model as a surrogate of proliferative diabetic retinopathy Total RNA was collected from entire retinal cups dissected from 19-days old mice subjected to the oxygen-induced retinopathy protocol and subsequently injected with Aflibercept either on postnatal days 13 and 15 (OIR+AFLx2) or on postnatal days 13, 15 and 17. Non-injected OIR littermates (OIR) and age-matched mice housed in normoxic conditions (normoxia) were used as controls.	Mus musculus	Expression profiling by array	12	21877	34321516	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137705
200150703	GSE150703	GSE150703	Single-cell RNAseq of Normoxic and OIR mouse retina by Drop-seq	Proliferative retinopathy is associated with abnormal vascular development (neovascularisation) of the retina. In mouse, the oxygen-induced retinopathy (OIR) model mimics the proliferative retinopathy found in extreme premature babies (Retinopathy of Prematurity) and in patients suffering from diabetic retinopathy. Using Drop-seq, we performed single-cell RNAseq analysis of mouse retina under physiological, normoxic (NORM) condition and retina under OIR condition, at postnatal day 14 and day 17, periods associated with a peak of neovascularisation. We used both whole retina cells or rod (CD73) depleted retina cells. Sorting conditions (whole vs. rod-depleted) derived count matrices were aligned with Seurat CCA and processed for dimensionality reduction and clustering.	Mus musculus	Expression profiling by high throughput sequencing	12	19057	32820093;40562775	GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150703
200150794	GSE150794	GSE150794	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P50]	We aimed at identifying the regulatory network of Aflibercept in the context of pathological neovascularization by using the oxygen-induced retinopathy mouse model as a surrogate of proliferative diabetic retinopathy Total RNA was collected from entire retinal cups dissected from 50-days old mice subjected to the oxygen-induced retinopathy protocol and subsequently injected with Aflibercept either on postnatal days 13 and 15 (OIR+AFLx2) or on postnatal days 13, 15 and 17. Non-injected OIR littermates (OIR) and age-matched mice housed in normoxic conditions (normoxia) were used as controls.	Mus musculus	Expression profiling by array	12	20258		GSE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150794
