source	record_id	title	decision	reason	duplicate_of
NCBI BioProject	PRJNA1453907	Single-cell RNA sequencing reveals that Epac1 deletion attenuates Müller glial pathological activation in ischemia-induced retinopathy	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE328096 (normalized-title similarity 1.000)	GSE328096
NCBI BioProject	PRJNA1398191	Attenuation of oxygen-induced neovascularization and inflammation by neutralizing antibody to VEGFA and/or ANG-2	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE315511 (normalized-title similarity 1.000)	GSE315511
NCBI BioProject	PRJEB78521	Single-cell RNA-seq of vascular endothelial cells in the mouse model of vascular injury	EXCLUDE	one pooled P17 retina library per condition; no deposited between-library replication	
NCBI BioProject	PRJNA1347474	Oxygen-Induced Retinopathy RNA-Seq (Ribo- libraries)	INCLUDE_PRIMARY	P17 retinal OIR and control biological replicates; one effect retained for the PRJNA483866/PRJNA1347474 duplicate cohort	
NCBI BioProject	PRJNA1303595	RiboTag-based profiling of actively translating transcripts in Nrf2-deficient and wildtype Müller cells in a mouse model of oxygen-induced retinopathy	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE304959 (normalized-title similarity 1.000)	GSE304959
NCBI BioProject	PRJNA1284579	Injectable ROS-Responsive Hydrogel with Sustained Release of Procyanidin C1 for Selective Elimination of Senescent Cells to Remodel Pathological Retinal Angiogenesis	EXCLUDE_DUPLICATE_COHORT	BioProject underlying GSE301407; already counted as that GEO accession	GSE301407
NCBI BioProject	PRJDB15171	Spatial and temporal analyses of retinal inflammatory environment involving the onset and progression of photoreceptor degeneration	EXCLUDE	one P17 retina library per relevant condition and treatment-context limitations	
NCBI BioProject	PRJNA1236858	Targeting ATF6 Reduces Pathological Neovascularization and Improves Visual Outcomes in Retinal Disease Models	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE292097 (normalized-title similarity 1.000)	GSE292097
NCBI BioProject	PRJNA1227125	Nanozyme Eye Drops for Retinal Barrier Penetration and Vasculopathy Repair	INCLUDE_PRIMARY	P17 normal and PBS-treated OIR retinal libraries with three deposited replicates per group	
NCBI BioProject	PRJNA1221932	Fibronectin mediates Endothelial-to-mesenchymal Transition in retina angiogenesis	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE289223 (normalized-title similarity 1.000)	GSE289223
NCBI BioProject	PRJNA1219573	Deletion of endothelial glycocalyx component endomucin impairs retinal vascularization and suppresses pathological neovascularization	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE288833 (normalized-title similarity 1.000)	GSE288833
NCBI BioProject	PRJNA1193014	Single-Cell Multiomics Profiling Reveals Heterogeneity of Müller Cells in the Oxygen-Induced Retinopathy Model	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE283276 (normalized-title similarity 1.000)	GSE283276
NCBI BioProject	PRJNA1186057	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [liver RNA-Seq]	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE281854 (normalized-title similarity 1.000)	GSE281854
NCBI BioProject	PRJNA1186056	Systems level analysis of lipid metabolism in oxygen-induced retinopathy [retina_RNAseq]	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE281855 (normalized-title similarity 1.000)	GSE281855
NCBI BioProject	PRJNA1182806	Deubiquitinase USP9X regulates Wnt-signaling to control CNS vascular formation and barrier maintenance	DUPLICATE_DISCOVERY_RECORD_OF_GEO	BioProject record maps to GSE281249 (normalized-title similarity 1.000)	GSE281249
