accession	sample_id	title	organism	source_name	characteristics	treatment_protocol	growth_protocol	extract_protocol	description	data_processing
GSE115949	GSM3195901	N1	Mus musculus	Retina	age: Postnatal day 17 | treatment: room control	The pups were sacrificed and the retinas were isolated and collected from the posterior segment of the eyes.	All mice were raised in Pathogen-free room and the room was maintained at a constant temperature of 23±1℃ with a 12 h light/dark cycle. Food and water were available ad libitum in the home cages.	Total RNA was isolated using TRIzol (Invitrogen). RNA quality and quantity was measured by using nanodrop spectrophotometer (ND-1000, Nanodrop Technologies) and RNA Integrity was determined by gel electrophoresis.	Experimental animals were postnatal day 17 pups of C57BL/6 mice (Hunan SJA Laboratory Animal Co. Ltd. Changsha, China)	Scanned images were then imported into GenePix Pro 6.0 software (Axon) for grid alignment and data extraction. Replicated miRNAs were averaged and miRNAs that intensities>=30 in all samples were chosen for calculating normalization factor. Expressed data were normalized using the Median normalization. After normalization, significant differentially expressed miRNAs between two groups were identified through Fold change and P-value. Differentially expressed miRNAs between two samples were filtered through Fold change.
GSE115949	GSM3195902	N2	Mus musculus	Retina	age: Postnatal day 17 | treatment: room control	The pups were sacrificed and the retinas were isolated and collected from the posterior segment of the eyes.	All mice were raised in Pathogen-free room and the room was maintained at a constant temperature of 23±1℃ with a 12 h light/dark cycle. Food and water were available ad libitum in the home cages.	Total RNA was isolated using TRIzol (Invitrogen). RNA quality and quantity was measured by using nanodrop spectrophotometer (ND-1000, Nanodrop Technologies) and RNA Integrity was determined by gel electrophoresis.	Experimental animals were postnatal day 17 pups of C57BL/6 mice (Hunan SJA Laboratory Animal Co. Ltd. Changsha, China)	Scanned images were then imported into GenePix Pro 6.0 software (Axon) for grid alignment and data extraction. Replicated miRNAs were averaged and miRNAs that intensities>=30 in all samples were chosen for calculating normalization factor. Expressed data were normalized using the Median normalization. After normalization, significant differentially expressed miRNAs between two groups were identified through Fold change and P-value. Differentially expressed miRNAs between two samples were filtered through Fold change.
GSE115949	GSM3195903	N3	Mus musculus	Retina	age: Postnatal day 17 | treatment: room control	The pups were sacrificed and the retinas were isolated and collected from the posterior segment of the eyes.	All mice were raised in Pathogen-free room and the room was maintained at a constant temperature of 23±1℃ with a 12 h light/dark cycle. Food and water were available ad libitum in the home cages.	Total RNA was isolated using TRIzol (Invitrogen). RNA quality and quantity was measured by using nanodrop spectrophotometer (ND-1000, Nanodrop Technologies) and RNA Integrity was determined by gel electrophoresis.	Experimental animals were postnatal day 17 pups of C57BL/6 mice (Hunan SJA Laboratory Animal Co. Ltd. Changsha, China)	Scanned images were then imported into GenePix Pro 6.0 software (Axon) for grid alignment and data extraction. Replicated miRNAs were averaged and miRNAs that intensities>=30 in all samples were chosen for calculating normalization factor. Expressed data were normalized using the Median normalization. After normalization, significant differentially expressed miRNAs between two groups were identified through Fold change and P-value. Differentially expressed miRNAs between two samples were filtered through Fold change.
GSE115949	GSM3195904	OIR1	Mus musculus	Retina	age: Postnatal day 17 | treatment: exposed to 75% oxygen at postnatal day (P)7 for 5 days	The pups were sacrificed and the retinas were isolated and collected from the posterior segment of the eyes.	All mice were raised in Pathogen-free room and the room was maintained at a constant temperature of 23±1℃ with a 12 h light/dark cycle. Food and water were available ad libitum in the home cages.	Total RNA was isolated using TRIzol (Invitrogen). RNA quality and quantity was measured by using nanodrop spectrophotometer (ND-1000, Nanodrop Technologies) and RNA Integrity was determined by gel electrophoresis.	Experimental animals were postnatal day 17 pups of C57BL/6 mice (Hunan SJA Laboratory Animal Co. Ltd. Changsha, China)	Scanned images were then imported into GenePix Pro 6.0 software (Axon) for grid alignment and data extraction. Replicated miRNAs were averaged and miRNAs that intensities>=30 in all samples were chosen for calculating normalization factor. Expressed data were normalized using the Median normalization. After normalization, significant differentially expressed miRNAs between two groups were identified through Fold change and P-value. Differentially expressed miRNAs between two samples were filtered through Fold change.
GSE115949	GSM3195905	OIR2	Mus musculus	Retina	age: Postnatal day 17 | treatment: exposed to 75% oxygen at postnatal day (P)7 for 5 days	The pups were sacrificed and the retinas were isolated and collected from the posterior segment of the eyes.	All mice were raised in Pathogen-free room and the room was maintained at a constant temperature of 23±1℃ with a 12 h light/dark cycle. Food and water were available ad libitum in the home cages.	Total RNA was isolated using TRIzol (Invitrogen). RNA quality and quantity was measured by using nanodrop spectrophotometer (ND-1000, Nanodrop Technologies) and RNA Integrity was determined by gel electrophoresis.	Experimental animals were postnatal day 17 pups of C57BL/6 mice (Hunan SJA Laboratory Animal Co. Ltd. Changsha, China)	Scanned images were then imported into GenePix Pro 6.0 software (Axon) for grid alignment and data extraction. Replicated miRNAs were averaged and miRNAs that intensities>=30 in all samples were chosen for calculating normalization factor. Expressed data were normalized using the Median normalization. After normalization, significant differentially expressed miRNAs between two groups were identified through Fold change and P-value. Differentially expressed miRNAs between two samples were filtered through Fold change.
GSE115949	GSM3195906	OIR3	Mus musculus	Retina	age: Postnatal day 17 | treatment: exposed to 75% oxygen at postnatal day (P)7 for 5 days	The pups were sacrificed and the retinas were isolated and collected from the posterior segment of the eyes.	All mice were raised in Pathogen-free room and the room was maintained at a constant temperature of 23±1℃ with a 12 h light/dark cycle. Food and water were available ad libitum in the home cages.	Total RNA was isolated using TRIzol (Invitrogen). RNA quality and quantity was measured by using nanodrop spectrophotometer (ND-1000, Nanodrop Technologies) and RNA Integrity was determined by gel electrophoresis.	Experimental animals were postnatal day 17 pups of C57BL/6 mice (Hunan SJA Laboratory Animal Co. Ltd. Changsha, China)	Scanned images were then imported into GenePix Pro 6.0 software (Axon) for grid alignment and data extraction. Replicated miRNAs were averaged and miRNAs that intensities>=30 in all samples were chosen for calculating normalization factor. Expressed data were normalized using the Median normalization. After normalization, significant differentially expressed miRNAs between two groups were identified through Fold change and P-value. Differentially expressed miRNAs between two samples were filtered through Fold change.
GSE123945	GSM3517545	MWMSmmKOHP1: Hyperoxia EMP2 KO #1	Mus musculus	Retina/coroid	strain: C57BL6J | Sex: Female | age: G17 | genotype/variation: EMP2 KO | tissue: Retina/coroid	Oxygen-induced retinopathy was produced in the mouse according to standard guidelines published [Connor 2009]. Briefly, pups were designated at P0.5 the morning that they were found to be delivered. Mothers were maintained on the standard rodent chow diet, as above, during gestation and during suckling. Litters were culled to 8 pups, as per protocol recommendations. Mothers were randomly assigned to normoxia conditions or hyperoxia conditions. For those assigned to hyperoxia, on postnatal day 7, nursing mothers and their pups were subjected to hyperoxia (75% oxygen continuously) for 5 days by placing them in an airtight chamber (Biospherix Proox model 360). Conditions including humiditiy, temperature, and the health of the animals were assessed twice daily while in the chamber. On postnatal day 12, the mothers and their pups were removed from the chamber and placed back into room air (21% oxygen).	EMP2 KO mice bred on a C57BL/6 background were obtained from the laboratory of Dr. Carmen Williams [Williams 2017] and re-derived at UCLA.  Wildtype C57BL/6 mice were purchased from the UCLA Division of Laboratory and Animal Medicine colony.  All mice were housed  in 12:12 hour light-dark cycles with ad libitum access to a standard rodent chow diet (Pico Lab Rodent Diet 20, cat# 5053, Lab Diet, St. Louis, MO) and water.	RNA was extracted using the Zymo Direct-Zol RNA MiniPrep Plus (cat# R2070, Irvine, CA) as per the manufacturer’s instructions. Total RNA was quantified and 260/280 ratios determined using Nanodrop (all samples with a 260/280>1.97). 1μg of total RNA was used as starting material for each sample. | RNA sequencing and library preparation was performed by the UCLA Technology Center for Genomics and Bioinformatics with Kapa hyper Prep Kits with RiboErase. The workflow consists of rRNA depletion, cDNA generation, and end repair to generate blunt ends, A-tailing, adaptor ligation and PCR amplification. Different adaptors were used for multiplexing samples in one lane. Sequencing was performed on Illumina Hiseq3000 for a single read 50 run.		Data quality check was done on an Illumina SAV. Demultiplexing was performed with the Illumina Bcl2fastq2 v 2.17 program. | The STAR ultrafast universal RNA-seq aligner (v2.5.2b) was used to generate the genome index and perform single-end alignments. Reads were aligned to a genome index that includes both the genome sequence (GRCm38 primary assembly) and the exon/intron structure of known gene models (Gencode M12 genome annotation). Alignment files were used to generate strand-specific, gene-level count summaries with STAR's built-in gene counter. Differential expression analysis was performed with DESeq2. | Counts were normalized per-sample in units of RPKMs after correcting for gene mappable length and sample total counts. | Genome_build: GRCm38/mm10 | Supplementary_files_format_and_content: Tab delimited, per-sample, gene expression estimates in units of RPKMs
GSE123945	GSM3517546	MWMSmmKOHP2: Hyperoxia EMP2 KO #2	Mus musculus	Retina/coroid	strain: C57BL6J | Sex: Female | age: G17 | genotype/variation: EMP2 KO | tissue: Retina/coroid	Oxygen-induced retinopathy was produced in the mouse according to standard guidelines published [Connor 2009]. Briefly, pups were designated at P0.5 the morning that they were found to be delivered. Mothers were maintained on the standard rodent chow diet, as above, during gestation and during suckling. Litters were culled to 8 pups, as per protocol recommendations. Mothers were randomly assigned to normoxia conditions or hyperoxia conditions. For those assigned to hyperoxia, on postnatal day 7, nursing mothers and their pups were subjected to hyperoxia (75% oxygen continuously) for 5 days by placing them in an airtight chamber (Biospherix Proox model 360). Conditions including humiditiy, temperature, and the health of the animals were assessed twice daily while in the chamber. On postnatal day 12, the mothers and their pups were removed from the chamber and placed back into room air (21% oxygen).	EMP2 KO mice bred on a C57BL/6 background were obtained from the laboratory of Dr. Carmen Williams [Williams 2017] and re-derived at UCLA.  Wildtype C57BL/6 mice were purchased from the UCLA Division of Laboratory and Animal Medicine colony.  All mice were housed  in 12:12 hour light-dark cycles with ad libitum access to a standard rodent chow diet (Pico Lab Rodent Diet 20, cat# 5053, Lab Diet, St. Louis, MO) and water.	RNA was extracted using the Zymo Direct-Zol RNA MiniPrep Plus (cat# R2070, Irvine, CA) as per the manufacturer’s instructions. Total RNA was quantified and 260/280 ratios determined using Nanodrop (all samples with a 260/280>1.97). 1μg of total RNA was used as starting material for each sample. | RNA sequencing and library preparation was performed by the UCLA Technology Center for Genomics and Bioinformatics with Kapa hyper Prep Kits with RiboErase. The workflow consists of rRNA depletion, cDNA generation, and end repair to generate blunt ends, A-tailing, adaptor ligation and PCR amplification. Different adaptors were used for multiplexing samples in one lane. Sequencing was performed on Illumina Hiseq3000 for a single read 50 run.		Data quality check was done on an Illumina SAV. Demultiplexing was performed with the Illumina Bcl2fastq2 v 2.17 program. | The STAR ultrafast universal RNA-seq aligner (v2.5.2b) was used to generate the genome index and perform single-end alignments. Reads were aligned to a genome index that includes both the genome sequence (GRCm38 primary assembly) and the exon/intron structure of known gene models (Gencode M12 genome annotation). Alignment files were used to generate strand-specific, gene-level count summaries with STAR's built-in gene counter. Differential expression analysis was performed with DESeq2. | Counts were normalized per-sample in units of RPKMs after correcting for gene mappable length and sample total counts. | Genome_build: GRCm38/mm10 | Supplementary_files_format_and_content: Tab delimited, per-sample, gene expression estimates in units of RPKMs
GSE123945	GSM3517547	MWMSmmKOHP3: Hyperoxia EMP2 KO #3	Mus musculus	Retina/coroid	strain: C57BL6J | Sex: Male | age: G17 | genotype/variation: EMP2 KO | tissue: Retina/coroid	Oxygen-induced retinopathy was produced in the mouse according to standard guidelines published [Connor 2009]. Briefly, pups were designated at P0.5 the morning that they were found to be delivered. Mothers were maintained on the standard rodent chow diet, as above, during gestation and during suckling. Litters were culled to 8 pups, as per protocol recommendations. Mothers were randomly assigned to normoxia conditions or hyperoxia conditions. For those assigned to hyperoxia, on postnatal day 7, nursing mothers and their pups were subjected to hyperoxia (75% oxygen continuously) for 5 days by placing them in an airtight chamber (Biospherix Proox model 360). Conditions including humiditiy, temperature, and the health of the animals were assessed twice daily while in the chamber. On postnatal day 12, the mothers and their pups were removed from the chamber and placed back into room air (21% oxygen).	EMP2 KO mice bred on a C57BL/6 background were obtained from the laboratory of Dr. Carmen Williams [Williams 2017] and re-derived at UCLA.  Wildtype C57BL/6 mice were purchased from the UCLA Division of Laboratory and Animal Medicine colony.  All mice were housed  in 12:12 hour light-dark cycles with ad libitum access to a standard rodent chow diet (Pico Lab Rodent Diet 20, cat# 5053, Lab Diet, St. Louis, MO) and water.	RNA was extracted using the Zymo Direct-Zol RNA MiniPrep Plus (cat# R2070, Irvine, CA) as per the manufacturer’s instructions. Total RNA was quantified and 260/280 ratios determined using Nanodrop (all samples with a 260/280>1.97). 1μg of total RNA was used as starting material for each sample. | RNA sequencing and library preparation was performed by the UCLA Technology Center for Genomics and Bioinformatics with Kapa hyper Prep Kits with RiboErase. The workflow consists of rRNA depletion, cDNA generation, and end repair to generate blunt ends, A-tailing, adaptor ligation and PCR amplification. Different adaptors were used for multiplexing samples in one lane. Sequencing was performed on Illumina Hiseq3000 for a single read 50 run.		Data quality check was done on an Illumina SAV. Demultiplexing was performed with the Illumina Bcl2fastq2 v 2.17 program. | The STAR ultrafast universal RNA-seq aligner (v2.5.2b) was used to generate the genome index and perform single-end alignments. Reads were aligned to a genome index that includes both the genome sequence (GRCm38 primary assembly) and the exon/intron structure of known gene models (Gencode M12 genome annotation). Alignment files were used to generate strand-specific, gene-level count summaries with STAR's built-in gene counter. Differential expression analysis was performed with DESeq2. | Counts were normalized per-sample in units of RPKMs after correcting for gene mappable length and sample total counts. | Genome_build: GRCm38/mm10 | Supplementary_files_format_and_content: Tab delimited, per-sample, gene expression estimates in units of RPKMs
GSE123945	GSM3517548	MWMSmmKOHP4: Hyperoxia EMP2 KO #4	Mus musculus	Retina/coroid	strain: C57BL6J | Sex: Male | age: G17 | genotype/variation: EMP2 KO | tissue: Retina/coroid	Oxygen-induced retinopathy was produced in the mouse according to standard guidelines published [Connor 2009]. Briefly, pups were designated at P0.5 the morning that they were found to be delivered. Mothers were maintained on the standard rodent chow diet, as above, during gestation and during suckling. Litters were culled to 8 pups, as per protocol recommendations. Mothers were randomly assigned to normoxia conditions or hyperoxia conditions. For those assigned to hyperoxia, on postnatal day 7, nursing mothers and their pups were subjected to hyperoxia (75% oxygen continuously) for 5 days by placing them in an airtight chamber (Biospherix Proox model 360). Conditions including humiditiy, temperature, and the health of the animals were assessed twice daily while in the chamber. On postnatal day 12, the mothers and their pups were removed from the chamber and placed back into room air (21% oxygen).	EMP2 KO mice bred on a C57BL/6 background were obtained from the laboratory of Dr. Carmen Williams [Williams 2017] and re-derived at UCLA.  Wildtype C57BL/6 mice were purchased from the UCLA Division of Laboratory and Animal Medicine colony.  All mice were housed  in 12:12 hour light-dark cycles with ad libitum access to a standard rodent chow diet (Pico Lab Rodent Diet 20, cat# 5053, Lab Diet, St. Louis, MO) and water.	RNA was extracted using the Zymo Direct-Zol RNA MiniPrep Plus (cat# R2070, Irvine, CA) as per the manufacturer’s instructions. Total RNA was quantified and 260/280 ratios determined using Nanodrop (all samples with a 260/280>1.97). 1μg of total RNA was used as starting material for each sample. | RNA sequencing and library preparation was performed by the UCLA Technology Center for Genomics and Bioinformatics with Kapa hyper Prep Kits with RiboErase. The workflow consists of rRNA depletion, cDNA generation, and end repair to generate blunt ends, A-tailing, adaptor ligation and PCR amplification. Different adaptors were used for multiplexing samples in one lane. Sequencing was performed on Illumina Hiseq3000 for a single read 50 run.		Data quality check was done on an Illumina SAV. Demultiplexing was performed with the Illumina Bcl2fastq2 v 2.17 program. | The STAR ultrafast universal RNA-seq aligner (v2.5.2b) was used to generate the genome index and perform single-end alignments. Reads were aligned to a genome index that includes both the genome sequence (GRCm38 primary assembly) and the exon/intron structure of known gene models (Gencode M12 genome annotation). Alignment files were used to generate strand-specific, gene-level count summaries with STAR's built-in gene counter. Differential expression analysis was performed with DESeq2. | Counts were normalized per-sample in units of RPKMs after correcting for gene mappable length and sample total counts. | Genome_build: GRCm38/mm10 | Supplementary_files_format_and_content: Tab delimited, per-sample, gene expression estimates in units of RPKMs
