accession	title	summary	overall_design	pubmed_id	relation	supplementary_file
GSE115949	Expression profiling of microRNAs in oxygen-induced retinal neovascularization in mice	The purpose of this study is to identify disease-related miRNAs in retinas of a mouse model of oxygen-induced retinopathy (OIR). OIR pups were exposed to 75% oxygen at postnatal day (P)7 for 5 days, and were returned to room air at P12. The miRNAs expression profiles in the retinas from OIR mice at P17 and room air controls were determined through microarray analysis. Expressions of significantly upregulated and downregulated miRNAs in the OIR retinas and controls were confirmed through quantitative real-time RT-PCR (qPCR). Compared to the room air controls, 3 miRNAs were significantly up-regulated, and 8 miRNAs were down-regulated in OIR retinas. Our findings indicated that several miRNAs were differentially expressed in the oxygen-induced retinal neovascularization, which might provide novel therapeutic targets in regulating retinal neovascular diseases.	In this study, three samples from OIR mice retinas and another three samples from room air control mice retinas at postnatal day 17 were used to acquire the miRNA expression profiling.	31131231	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA476577	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115949/suppl/GSE115949_RAW.tar
GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	Retinopathy of prematurity (ROP) is a leading cause of childhood blindness, and exclusively affects infants born prematurely. In this study, we test the hypothesis that EMP2 contributes to neovascularization in a mouse model of the disease.  We show that EMP2 promotes neuronal VEGF signaling and that its downregulation reduces severity of neovascularization.	RNA-Seq was performed on RNA from cryopreserved retinal tissues. Four replicates from the following conditions were profild: WT normoxia, EMP2 KO normoxia, WT hyperoxia, and EMP2 KO hyperoxia group at P17.	41829920	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA510363 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP173616	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123945/suppl/GSE123945_MWMSmm.genesfpkm.txt.gz
GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	We aimed at identifying the regulatory network of Aflibercept in the context of pathological neovascularization by using the oxygen-induced retinopathy mouse model as a surrogate of proliferative diabetic retinopathy | Total RNA was collected from entire retinal cups dissected from mice subjected to the oxygen-induced retinopathy protocol and subsequently injected with Aflibercept either on postnatal day 13 (collection on day 14) or on postnatal day 13 and 15 (collection on day 17). Non-injected OIR littermates and age-matched mice housed in normoxic conditions were used as controls.	Three treatments were considered, namely normoxic controls, OIR and OIR+AFL mice. Three mice were considered per treatment, i.e. each group contained three biological replicates. Two ages were considered, namely P14 and P17. Thus, 18 samples were analyzed in total - 2 ages, 3 treatments, and 3 replicates per age and treatment. Each sample consists of total RNA isolated from the 2 entire retinas of 2 mice, i.e. 4 pooled retinas in total.	31550048;34321516	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA514455	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124956/suppl/GSE124956_RAW.tar | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124956/suppl/GSE124956_normalized_data_matrix.txt.gz
GSE130347	Murine model of oxygen-induced retinopathy - 3 time points [blood]	To study early and late transcriptional changes introduced to blood and retinal tissue in murine oxygen-induced retinopathy (OIR). From blood MNCs total RNA was extracted at three time points: immediately after end of hyperoxia (P12), at P17 and P28.	Transcriptional profiling of mouse retinal cells with the use of SurePrint G3 Mouse Gene Expression microarrays (Agilent). Comparison between hyperoxia and normoxia conditions, 3 different time pionts (P12, P17 and P28).		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA537864	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130347/suppl/GSE130347_RAW.tar
GSE130400	Murine model of oxygen-induced retinopathy - 3 time points [retina]	To study early and late transcriptional changes introduced to blood and retinal tissue in murine oxygen-induced retinopathy (OIR). From retinal cells RNA was extracted at three time points: immediately after end of hyperoxia (P12), at P17 and P28.	Transcriptional profiling of mouse retinal cells with the use of SurePrint G3 Mouse Gene Expression microarrays (Agilent). Comparison between hyperoxia and normoxia conditions, 3 different time pionts (P12, P17 and P28).		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA539988	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130400/suppl/GSE130400_RAW.tar
GSE132731	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	Myeloid cells such as resident retinal microglia or infiltrating blood-derived macrophages accumulate in areas of retinal ischemia and neovascularization (RNV) and modulate neovascular eye disease. Their temporo-spatial distribution and biological function in this process, however, remain unclarified. We determined the extent of microglia proliferation and macrophage infiltration in areas of ischemia and RNV using Cx3cr1CreERT2:Rosa26-tdTomato mice and assessed the transcriptional profile of microglia in the oxygen-induced retinopathy (OIR) mouse model. We show that microglia are the predominant myeloid cell population in areas of RNV. Thirty percent of retinal microglia were EdU-positive indicating considerable expansion of local microglia. RNA-Seq revealed an enrichment of processes related to cell division and chemokine receptor binding. We propose that activated retinal MG alter their transcriptional profile, exhibit proliferative ability and are by far the most frequent myeloid cell population in areas of RNV in the OIR model thus presenting a potential target for future therapeutic approaches.	Examination of the transcriptional profile of retinal microglia cells in the healthy retina and in the oxygen-induced retinopathy model	32150307	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA548871 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP201425	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132731/suppl/GSE132731_data.csv.gz
GSE135844	Progenitor cell combination normalizes retinal vascular development by enhancing pericyte ensheathment in the oxygen-induced retinopathy (OIR) model	Retinopathy of prematurity (ROP) is a disorder of the developing retina of preterm infants. ROP can lead to blindness due to abnormal angiogenesis that is the result of suspended vascular development and vaso-obliteration leading to severe retinal stress and hypoxia. We tested the hypothesis that a combined treatment with two human progenitor populations, the CD34+ cells, bone marrow-derived, and the endothelial colony-forming cells (ECFCs) synergistically protected the developing retinal vasculature in a murine model of ROP, the oxygen-induced retinopathy (OIR)., CD34+ cells alone, ECFCs alone, or a combination thereof were injected intravitreally at either P5 or P12 and pups were euthanized at P17. Retinas from OIR mice injected with ECFCs or the combined treatment revealed formation of the deep vascular plexus (DVP) while still in hyperoxia, with normal appearing connections between the superficial vascular plexus (SVP) and the DVP. The combination therapy prevented aberrant retinal neovascularization and was more effective anatomically and functionally at rescuing the ischemia phenotype than either cell type alone. The beneficial effect of the cell combination was the result of their ability to orchestrate an acceleration of vascular development and more rapid ensheathment of pericytes on the developing vessels.	We used a neonatal mouse model of OIR to test the effect of cell treatment (ECFC, CD34+, or the combination thereof) on retinopathy of prematurity. The injections were done at two different developmental stages (P5 or P12), and retinas were collected for various analyses at P12 or P17, respectively.  For microarray analysis, three retinas per experimental conditin were used.	31672944	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA560255	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135844/suppl/GSE135844_RAW.tar
GSE137705	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P19]	We aimed at identifying the regulatory network of Aflibercept in the context of pathological neovascularization by using the oxygen-induced retinopathy mouse model as a surrogate of proliferative diabetic retinopathy | Total RNA was collected from entire retinal cups dissected from 19-days old mice subjected to the oxygen-induced retinopathy protocol and subsequently injected with Aflibercept either on postnatal days 13 and 15 (OIR+AFLx2) or on postnatal days 13, 15 and 17. Non-injected OIR littermates (OIR) and age-matched mice housed in normoxic conditions (normoxia) were used as controls.	Four treatments were considered, namely normoxic controls, OIR mice, OIR mice injected twice with Aflibercep (OIR+AFLx2), and OIR mice injected three times with Aflibercept (OIR+AFLx3). Each group contained three biological replicates, i.e. three mice. All RNA samples were collected on postnatal day 19. Thus, 12 samples were analyzed in total: 1 time-point, 4 treatments, and 3 replicates per treatment. Each sample consists of total RNA isolated from the 2 entire pooled retinas of 1 mouse.	34321516	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA566356	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137705/suppl/GSE137705_RAW.tar | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137705/suppl/GSE137705_normalized_matrix.txt.gz
GSE150703	Single-cell RNAseq of Normoxic and OIR mouse retina by Drop-seq	Proliferative retinopathy is associated with abnormal vascular development (neovascularisation) of the retina. In mouse, the oxygen-induced retinopathy (OIR) model mimics the proliferative retinopathy found in extreme premature babies (Retinopathy of Prematurity) and in patients suffering from diabetic retinopathy. Using Drop-seq, we performed single-cell RNAseq analysis of mouse retina under physiological, normoxic (NORM) condition and retina under OIR condition, at postnatal day 14 and day 17, periods associated with a peak of neovascularisation. We used both whole retina cells or rod (CD73) depleted retina cells. Sorting conditions (whole vs. rod-depleted) derived count matrices were aligned with Seurat CCA and processed for dimensionality reduction and clustering.	We analysed the effect of OIR/NORM by single-cell RNAseq (Drop-seq) of C57B6 retina (whole retina n =7, and rod-depleted n=5) from P14 and P17 animals. |  | Contributor: Vision Health Research Network	32820093;40562775	BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA633178 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP261912	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150703/suppl/GSE150703_retina_NORM_OIR_P14_P17_C57_WR_CD73FT_noamg_normalizedUMI_Count_DGEmatrix.txt.gz
GSE150794	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P50]	We aimed at identifying the regulatory network of Aflibercept in the context of pathological neovascularization by using the oxygen-induced retinopathy mouse model as a surrogate of proliferative diabetic retinopathy | Total RNA was collected from entire retinal cups dissected from 50-days old mice subjected to the oxygen-induced retinopathy protocol and subsequently injected with Aflibercept either on postnatal days 13 and 15 (OIR+AFLx2) or on postnatal days 13, 15 and 17. Non-injected OIR littermates (OIR) and age-matched mice housed in normoxic conditions (normoxia) were used as controls.	Four treatments were considered, namely normoxic controls, OIR mice, OIR mice injected twice with Aflibercep (OIR+AFLx2), and OIR mice injected three times with Aflibercept (OIR+AFLx3). Each group contained three biological replicates, i.e. three mice. All RNA samples were collected on postnatal day 50. Thus, 12 samples were analyzed in total: 1 time-point, 4 treatments, and 3 replicates per treatment. Each sample consists of total RNA isolated from the 2 whole retinas of 1 mouse pooled together.		BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA633594	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150794/suppl/GSE150794_RAW.tar | ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150794/suppl/GSE150794_normalized_data_matrix.txt.gz
