accession	url	local_path	status	size_bytes	error
GSE115949	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115949/soft/GSE115949_family.soft.gz	release_input/GSE115949_family.soft.gz	EXISTING	169408	
GSE123945	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123945/soft/GSE123945_family.soft.gz	release_input/GSE123945_family.soft.gz	EXISTING	4223	
GSE124956	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124956/soft/GSE124956_family.soft.gz	release_input/GSE124956_family.soft.gz	EXISTING	4226	
GSE130347	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130347/soft/GSE130347_family.soft.gz	release_input/GSE130347_family.soft.gz	EXISTING	41572684	
GSE130400	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130400/soft/GSE130400_family.soft.gz	release_input/GSE130400_family.soft.gz	EXISTING	47373688	
GSE132731	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132731/soft/GSE132731_family.soft.gz	release_input/GSE132731_family.soft.gz	EXISTING	4735	
GSE135844	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135844/soft/GSE135844_family.soft.gz	release_input/GSE135844_family.soft.gz	EXISTING	10536022	
GSE137705	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE137nnn/GSE137705/soft/GSE137705_family.soft.gz	release_input/GSE137705_family.soft.gz	EXISTING	3835	
GSE150703	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150703/soft/GSE150703_family.soft.gz	release_input/GSE150703_family.soft.gz	EXISTING	3405	
GSE150794	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150794/soft/GSE150794_family.soft.gz	release_input/GSE150794_family.soft.gz	EXISTING	15274926	
GSE152928	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152928/soft/GSE152928_family.soft.gz	release_input/GSE152928_family.soft.gz	EXISTING	2168	
GSE158799	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158799/soft/GSE158799_family.soft.gz	release_input/GSE158799_family.soft.gz	EXISTING	3690	
GSE174400	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174400/soft/GSE174400_family.soft.gz	release_input/GSE174400_family.soft.gz	EXISTING	3532	
GSE194176	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE194nnn/GSE194176/soft/GSE194176_family.soft.gz	release_input/GSE194176_family.soft.gz	EXISTING	2301	
GSE19886	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19886/soft/GSE19886_family.soft.gz	release_input/GSE19886_family.soft.gz	EXISTING	4186000	
GSE199792	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE199nnn/GSE199792/soft/GSE199792_family.soft.gz	release_input/GSE199792_family.soft.gz	EXISTING	3057	
GSE200195	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200195/soft/GSE200195_family.soft.gz	release_input/GSE200195_family.soft.gz	EXISTING	4984	
GSE209654	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE209nnn/GSE209654/soft/GSE209654_family.soft.gz	release_input/GSE209654_family.soft.gz	EXISTING	2102	
GSE213362	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213362/soft/GSE213362_family.soft.gz	release_input/GSE213362_family.soft.gz	EXISTING	404081	
GSE216676	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216676/soft/GSE216676_family.soft.gz	release_input/GSE216676_family.soft.gz	EXISTING	4177	
GSE227350	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227350/soft/GSE227350_family.soft.gz	release_input/GSE227350_family.soft.gz	EXISTING	2412	
GSE227861	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227861/soft/GSE227861_family.soft.gz	release_input/GSE227861_family.soft.gz	EXISTING	2727	
GSE230668	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230668/soft/GSE230668_family.soft.gz	release_input/GSE230668_family.soft.gz	EXISTING	43883757	
GSE234447	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234447/soft/GSE234447_family.soft.gz	release_input/GSE234447_family.soft.gz	EXISTING	6548	
GSE241239	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241239/soft/GSE241239_family.soft.gz	release_input/GSE241239_family.soft.gz	EXISTING	2704	
GSE245456	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245456/soft/GSE245456_family.soft.gz	release_input/GSE245456_family.soft.gz	EXISTING	5417	
GSE249919	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249919/soft/GSE249919_family.soft.gz	release_input/GSE249919_family.soft.gz	EXISTING	2390	
GSE259255	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259255/soft/GSE259255_family.soft.gz	release_input/GSE259255_family.soft.gz	EXISTING	2690	
GSE261490	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261490/soft/GSE261490_family.soft.gz	release_input/GSE261490_family.soft.gz	EXISTING	2765	
GSE262908	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE262nnn/GSE262908/soft/GSE262908_family.soft.gz	release_input/GSE262908_family.soft.gz	EXISTING	2837	
GSE263978	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE263nnn/GSE263978/soft/GSE263978_family.soft.gz	release_input/GSE263978_family.soft.gz	EXISTING	2402	
GSE268420	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268420/soft/GSE268420_family.soft.gz	release_input/GSE268420_family.soft.gz	EXISTING	3462	
GSE275394	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE275nnn/GSE275394/soft/GSE275394_family.soft.gz	release_input/GSE275394_family.soft.gz	EXISTING	2683	
GSE279825	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE279nnn/GSE279825/soft/GSE279825_family.soft.gz	release_input/GSE279825_family.soft.gz	EXISTING	3747	
GSE281249	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281249/soft/GSE281249_family.soft.gz	release_input/GSE281249_family.soft.gz	EXISTING	2532	
GSE281854	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281854/soft/GSE281854_family.soft.gz	release_input/GSE281854_family.soft.gz	EXISTING	2817	
GSE281855	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE281nnn/GSE281855/soft/GSE281855_family.soft.gz	release_input/GSE281855_family.soft.gz	EXISTING	2860	
GSE283276	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE283nnn/GSE283276/soft/GSE283276_family.soft.gz	release_input/GSE283276_family.soft.gz	EXISTING	2491	
GSE288833	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288833/soft/GSE288833_family.soft.gz	release_input/GSE288833_family.soft.gz	EXISTING	2396	
GSE289223	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE289nnn/GSE289223/soft/GSE289223_family.soft.gz	release_input/GSE289223_family.soft.gz	EXISTING	2854	
