study	sample_id	group	value_before_transform	input_scale	Adora2a_raw_count	library_size	source_file	preprocessing_note
GSE123945	WTNM1	Normoxia	0.8	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	Official series design identifies P17; GEO sample age field contains the apparent typo G17.
GSE123945	WTNM2	Normoxia	0.32	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	Official series design identifies P17; GEO sample age field contains the apparent typo G17.
GSE123945	WTNM3	Normoxia	0.46	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	Official series design identifies P17; GEO sample age field contains the apparent typo G17.
GSE123945	WTNM4	Normoxia	1.14	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	Official series design identifies P17; GEO sample age field contains the apparent typo G17.
GSE123945	WTHP1	OIR	1.35	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	WT hyperoxia/OIR arm; genotype intervention arms excluded.
GSE123945	WTHP2	OIR	0.72	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	WT hyperoxia/OIR arm; genotype intervention arms excluded.
GSE123945	WTHP3	OIR	1.35	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	WT hyperoxia/OIR arm; genotype intervention arms excluded.
GSE123945	WTHP4	OIR	0.85	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	WT hyperoxia/OIR arm; genotype intervention arms excluded.
GSE124956	SAMPLE 10	Normoxia	7.216544594	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Each deposited sample pools four retinas from two mice; sample is the analysis unit.
GSE124956	SAMPLE 11	Normoxia	7.432405015	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Each deposited sample pools four retinas from two mice; sample is the analysis unit.
GSE124956	SAMPLE 12	Normoxia	7.301841212	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Each deposited sample pools four retinas from two mice; sample is the analysis unit.
GSE124956	SAMPLE 13	OIR	7.271576852	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Untreated OIR arm; aflibercept arm excluded. Each sample pools four retinas from two mice.
GSE124956	SAMPLE 14	OIR	7.343933102	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Untreated OIR arm; aflibercept arm excluded. Each sample pools four retinas from two mice.
GSE124956	SAMPLE 15	OIR	7.425655759	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Untreated OIR arm; aflibercept arm excluded. Each sample pools four retinas from two mice.
GSE132731	OIR_1	OIR	0.0	raw_counts	0.0	25727439.0	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.
GSE132731	OIR_2	OIR	0.0	raw_counts	0.0	23784185.0	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.
