study	sample_id	group	value_before_transform	input_scale	Adora2a_raw_count	library_size	source_file	preprocessing_note	Adora2a	contrast
GSE123945	WTNM1	Normoxia	0.8	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	Official series design identifies P17; GEO sample age field contains the apparent typo G17.	0.84799690655495	P17_OIR_vs_normoxia
GSE123945	WTNM2	Normoxia	0.32	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	Official series design identifies P17; GEO sample age field contains the apparent typo G17.	0.400537929583729	P17_OIR_vs_normoxia
GSE123945	WTNM3	Normoxia	0.46	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	Official series design identifies P17; GEO sample age field contains the apparent typo G17.	0.545968369105292	P17_OIR_vs_normoxia
GSE123945	WTNM4	Normoxia	1.14	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	Official series design identifies P17; GEO sample age field contains the apparent typo G17.	1.09761079662642	P17_OIR_vs_normoxia
GSE123945	WTHP1	OIR	1.35	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	WT hyperoxia/OIR arm; genotype intervention arms excluded.	1.23266075679027	P17_OIR_vs_normoxia
GSE123945	WTHP2	OIR	0.72	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	WT hyperoxia/OIR arm; genotype intervention arms excluded.	0.782408564927373	P17_OIR_vs_normoxia
GSE123945	WTHP3	OIR	1.35	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	WT hyperoxia/OIR arm; genotype intervention arms excluded.	1.23266075679027	P17_OIR_vs_normoxia
GSE123945	WTHP4	OIR	0.85	FPKM			release_input/GSE123945_MWMSmm.genesfpkm.txt.gz	WT hyperoxia/OIR arm; genotype intervention arms excluded.	0.887525270741587	P17_OIR_vs_normoxia
GSE124956	SAMPLE 10	Normoxia	7.216544594	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Each deposited sample pools four retinas from two mice; sample is the analysis unit.	7.216544594	P17_OIR_vs_normoxia
GSE124956	SAMPLE 11	Normoxia	7.432405015	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Each deposited sample pools four retinas from two mice; sample is the analysis unit.	7.432405015	P17_OIR_vs_normoxia
GSE124956	SAMPLE 12	Normoxia	7.301841212	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Each deposited sample pools four retinas from two mice; sample is the analysis unit.	7.301841212	P17_OIR_vs_normoxia
GSE124956	SAMPLE 13	OIR	7.271576852	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Untreated OIR arm; aflibercept arm excluded. Each sample pools four retinas from two mice.	7.271576852	P17_OIR_vs_normoxia
GSE124956	SAMPLE 14	OIR	7.343933102	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Untreated OIR arm; aflibercept arm excluded. Each sample pools four retinas from two mice.	7.343933102	P17_OIR_vs_normoxia
GSE124956	SAMPLE 15	OIR	7.425655759	author_normalized_log			release_input/GSE124956_normalized_data_matrix.txt.gz	Untreated OIR arm; aflibercept arm excluded. Each sample pools four retinas from two mice.	7.425655759	P17_OIR_vs_normoxia
GSE132731	OIR_1	OIR	0	raw_counts	0	25727439	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	OIR_2	OIR	0	raw_counts	0	23784185	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	OIR_3	OIR	0	raw_counts	0	30001463	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	OIR_4	OIR	0	raw_counts	0	26406009	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	OIR_5	OIR	0	raw_counts	0	28676399	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	OIR_6	OIR	0	raw_counts	0	20771745	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	OIR_7	OIR	2	raw_counts	2	21480426	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-3.13048693745631	P17_OIR_vs_normoxia
GSE132731	OIR_8	OIR	0	raw_counts	0	24108596	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	nonOIR_1	Normoxia	0	raw_counts	0	13591651	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	nonOIR_2	Normoxia	0	raw_counts	0	24560071	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	nonOIR_3	Normoxia	0	raw_counts	0	19162522	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	nonOIR_4	Normoxia	0	raw_counts	0	22983108	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	nonOIR_5	Normoxia	3	raw_counts	3	27972049	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-2.96204400242385	P17_OIR_vs_normoxia
GSE132731	nonOIR_6	Normoxia	0	raw_counts	0	22556332	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	nonOIR_7	Normoxia	0	raw_counts	0	23949038	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE132731	nonOIR_8	Normoxia	0	raw_counts	0	23733035	release_input/GSE132731_data.csv.gz	Deposited sorted-retinal-microglia replicate; animal/eye mapping not fully public.	-5.56781953183924	P17_OIR_vs_normoxia
GSE135844	GSM4035321	Normoxia	7.58738	microarray_log			release_input/GSE135844_series_matrix.txt.gz	No-treatment P17 arm; Adora2a probe 1460710_at selected by highest overall mean.	7.58738	P17_OIR_vs_normoxia
GSE135844	GSM4035322	Normoxia	7.39927	microarray_log			release_input/GSE135844_series_matrix.txt.gz	No-treatment P17 arm; Adora2a probe 1460710_at selected by highest overall mean.	7.39927	P17_OIR_vs_normoxia
GSE135844	GSM4035323	Normoxia	8.08979	microarray_log			release_input/GSE135844_series_matrix.txt.gz	No-treatment P17 arm; Adora2a probe 1460710_at selected by highest overall mean.	8.08979	P17_OIR_vs_normoxia
GSE135844	GSM4035318	OIR	7.89785	microarray_log			release_input/GSE135844_series_matrix.txt.gz	No-treatment P17 arm; all cell-treatment arms excluded; probe 1460710_at.	7.89785	P17_OIR_vs_normoxia
GSE135844	GSM4035319	OIR	7.6057	microarray_log			release_input/GSE135844_series_matrix.txt.gz	No-treatment P17 arm; all cell-treatment arms excluded; probe 1460710_at.	7.6057	P17_OIR_vs_normoxia
GSE135844	GSM4035320	OIR	7.58546	microarray_log			release_input/GSE135844_series_matrix.txt.gz	No-treatment P17 arm; all cell-treatment arms excluded; probe 1460710_at.	7.58546	P17_OIR_vs_normoxia
GSE158799	GSM4810567	Normoxia	111	raw_counts	111	35483173	release_input/GSM4810567_Control_retina_P17_1_reads.xlsx	P17 whole-retina deposited count library.	1.65177773377809	P17_OIR_vs_normoxia
GSE158799	GSM4810568	Normoxia	153	raw_counts	153	35238991	release_input/GSM4810568_Control_retina_P17_2_reads.xlsx	P17 whole-retina deposited count library.	2.12291918795701	P17_OIR_vs_normoxia
GSE158799	GSM4810569	Normoxia	92	raw_counts	92	27369064	release_input/GSM4810569_Control_retina_P17_3_reads.xlsx	P17 whole-retina deposited count library.	1.75506790980125	P17_OIR_vs_normoxia
GSE158799	GSM4810570	OIR	199	raw_counts	199	34996878	release_input/GSM4810570_OIR_retina_P17_1_reads.xlsx	P17 whole-retina deposited count library.	2.51100849114425	P17_OIR_vs_normoxia
GSE158799	GSM4810571	OIR	242	raw_counts	242	41716971	release_input/GSM4810571_OIR_retina_P17_2_reads.xlsx	P17 whole-retina deposited count library.	2.53976900459717	P17_OIR_vs_normoxia
GSE158799	GSM4810572	OIR	226	raw_counts	226	40053572	release_input/GSM4810572_OIR_retina_P17_3_reads.xlsx	P17 whole-retina deposited count library.	2.49988557065861	P17_OIR_vs_normoxia
GSE216676	GSM6685629	OIR	75	raw_counts	75	2065550	release_input/GSE216676.tsv.gz	WT P17 CD31-enriched retinal Drop-seq library pseudobulk; cells are not analysis units.	5.19429834719421	P17_OIR_vs_normoxia
GSE216676	GSM6685631	Normoxia	23	raw_counts	23	1488669	release_input/GSE216676.tsv.gz	WT P17 CD31-enriched retinal Drop-seq library pseudobulk; cells are not analysis units.	3.97759828008154	P17_OIR_vs_normoxia
GSE216676	GSM6685632	Normoxia	23	raw_counts	23	1220308	release_input/GSE216676.tsv.gz	WT P17 CD31-enriched retinal Drop-seq library pseudobulk; cells are not analysis units.	4.25935773751639	P17_OIR_vs_normoxia
GSE216676	GSM6685633	OIR	7	raw_counts	7	672455	release_input/GSE216676.tsv.gz	WT P17 CD31-enriched retinal Drop-seq library pseudobulk; cells are not analysis units.	3.42129797301644	P17_OIR_vs_normoxia
GSE216676	GSM6685635	OIR	56	raw_counts	56	2791811	release_input/GSE216676.tsv.gz	WT P17 CD31-enriched retinal Drop-seq library pseudobulk; cells are not analysis units.	4.34781406902899	P17_OIR_vs_normoxia
GSE230668	GSM7230931	Normoxia	6.572715	microarray_log			release_input/GSE230668_series_matrix.txt.gz	Untreated P17 control; P7 and treatment samples excluded.	6.572715	P17_OIR_vs_normoxia
GSE230668	GSM7230933	Normoxia	6.854839	microarray_log			release_input/GSE230668_series_matrix.txt.gz	Untreated P17 control; P7 and treatment samples excluded.	6.854839	P17_OIR_vs_normoxia
GSE230668	GSM7230932	OIR	6.883764	microarray_log			release_input/GSE230668_series_matrix.txt.gz	Untreated P17 OIR; PBS and ISOX DUAL treatment arms excluded.	6.883764	P17_OIR_vs_normoxia
GSE230668	GSM7230934	OIR	6.820788	microarray_log			release_input/GSE230668_series_matrix.txt.gz	Untreated P17 OIR; PBS and ISOX DUAL treatment arms excluded.	6.820788	P17_OIR_vs_normoxia
