study	sample_id	sample_label	group	layout	Adora2a_raw_count	Adora2a_TPM	library_size	n_adora2a_transcripts	reference	quantifier	Adora2a
PRJNA1347474	SRR35839329	Normoxia_rep2	Normoxia	SINGLE	0	0	6619592.049	4	GENCODE mouse vM36	Salmon 1.10.3	-4.04299337560154
PRJNA1347474	SRR35839330	Normoxia_rep1	Normoxia	SINGLE	7	0.125065	8918035.008	4	GENCODE mouse vM36	Salmon 1.10.3	-0.241967880919248
PRJNA1347474	SRR35839333	OIR_rep2	OIR	SINGLE	13	0.292291	7213662.071	4	GENCODE mouse vM36	Salmon 1.10.3	0.897473328641246
PRJNA1347474	SRR35839334	OIR_rep1	OIR	SINGLE	20	0.412338	10216682.009	4	GENCODE mouse vM36	Salmon 1.10.3	1.01310303320939
PRJNA1227125	SRR32498838	Normoxia_rep3	Normoxia	PAIRED	64	2.284137	21664303.93	4	GENCODE mouse vM36	Salmon 1.10.3	1.57490824579576
PRJNA1227125	SRR32498839	Normoxia_rep2	Normoxia	PAIRED	37	1.644465	18479837.945	4	GENCODE mouse vM36	Salmon 1.10.3	1.01947366310514
PRJNA1227125	SRR32498840	Normoxia_rep1	Normoxia	PAIRED	41.983	2.032831	19492554.009	4	GENCODE mouse vM36	Salmon 1.10.3	1.12352977335876
PRJNA1227125	SRR32498841	OIR_PBS_rep3	OIR	PAIRED	102	4.220838	18713630.934	4	GENCODE mouse vM36	Salmon 1.10.3	2.45300899833435
PRJNA1227125	SRR32498842	OIR_PBS_rep2	OIR	PAIRED	60	2.028817	18821835.931	4	GENCODE mouse vM36	Salmon 1.10.3	1.68382395595488
PRJNA1227125	SRR32498843	OIR_PBS_rep1	OIR	PAIRED	94	3.071224	22840834.002	4	GENCODE mouse vM36	Salmon 1.10.3	2.04978182483288
