study	sample_id	sample_label	group	layout	Adora2a_raw_count	Adora2a_TPM	library_size	n_adora2a_transcripts	reference	quantifier
PRJNA1347474	SRR35839329	Normoxia_rep2	Normoxia	SINGLE	0.0	0.0	6619592.049000001	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1347474	SRR35839330	Normoxia_rep1	Normoxia	SINGLE	7.0	0.125065	8918035.008	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1347474	SRR35839333	OIR_rep2	OIR	SINGLE	13.0	0.29229099999999997	7213662.071	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1347474	SRR35839334	OIR_rep1	OIR	SINGLE	20.0	0.412338	10216682.009	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1227125	SRR32498838	Normoxia_rep3	Normoxia	PAIRED	64.0	2.284137	21664303.93	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1227125	SRR32498839	Normoxia_rep2	Normoxia	PAIRED	37.0	1.6444649999999998	18479837.945	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1227125	SRR32498840	Normoxia_rep1	Normoxia	PAIRED	41.983000000000004	2.032831	19492554.009	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1227125	SRR32498841	OIR_PBS_rep3	OIR	PAIRED	102.0	4.2208380000000005	18713630.934	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1227125	SRR32498842	OIR_PBS_rep2	OIR	PAIRED	60.0	2.028817	18821835.931	4	GENCODE mouse vM36	Salmon 1.10.3
PRJNA1227125	SRR32498843	OIR_PBS_rep1	OIR	PAIRED	94.0	3.071224	22840834.002	4	GENCODE mouse vM36	Salmon 1.10.3
