bioproject	n_sra_records	sra_xml_file
PRJNA483866	14	release_input/PRJNA483866_sra_experiment_package.xml
PRJNA1347474	14	release_input/PRJNA1347474_sra_experiment_package.xml
PRJEB78521	12	release_input/PRJEB78521_sra_experiment_package.xml
PRJDB15171	18	release_input/PRJDB15171_sra_experiment_package.xml
PRJNA1227125	9	release_input/PRJNA1227125_sra_experiment_package.xml
PRJNA1284579	9	release_input/PRJNA1284579_sra_experiment_package.xml
PRJNA328782	0	release_input/PRJNA328782_sra_experiment_package.xml
PRJNA299209	36	release_input/PRJNA299209_sra_experiment_package.xml
PRJNA168565	0	release_input/PRJNA168565_sra_experiment_package.xml
PRJNA122025	0	release_input/PRJNA122025_sra_experiment_package.xml
