pmid	title	abstract	accessions_in_title_abstract	mentions_transcriptomic_assay	mentions_public_data
16198337	Downregulation of vascular endothelial growth factor and integrinbeta3 by endostatin in a mouse model of retinal neovascularization.	Retinal neovascularization is among the leading causes of vision impairment throughout the world. Intraocular expression of vascular endothelial growth factor (VEGF), an angiogenic protein, and integrins, a group of cell adhesion molecules, is closely correlated with neovascularization in such neovascular diseases. The purpose of this study is to determine the effect of endostatin, a potent anti-angiogenic factor, on gene expression of vascular endothelial growth factor (VEGF) and integrinbeta3 in a mouse model of oxygen-induced retinopathy. C57BL/6 mice were given intravitreous injections of 1.0 microg endostatin at P12. At P17, retinal VEGF and integrinbeta3 mRNA levels were measured by real-time quantitative PCR in the hyperoxia mice and in the endostatin-treated mice. Analysis of 12 separate experiments revealed a 3.5-fold decrease in VEGF levels between hyperoxia mice and endostatin-treated mice (p<0.01) and a 2.5-fold decrease in integrinbeta3 levels between hyperoxia mice and endostatin-treated mice (p<0.01). These data suggest that intraocular expression of VEGF and integrinbeta3 mRNA is down-regulated by endostatin, which may provide a new therapeutic approach for ocular neovascularization.		True	False
16259558	Adeno-associated virus-mediated expression of vascular endothelial growth factor peptides inhibits retinal neovascularization in a mouse model of oxygen-induced retinopathy.	Vascular endothelial growth factor (VEGF) has been demonstrated to be a key stimulator of retinal neovascularization (NV), the most common cause of severe and progressive vision loss. In this study, we used a mouse model of oxygen-induced retinopathy (OIR) to explore the potential of gene expression and secretion of short VEGF peptides as a treatment. Peptide-encoding fragments of exons 6 and 7 of the VEGF gene were cloned into a recombinant adeno-associated virus (rAAV) vector. Expression of each peptide in vector-injected eyes was confirmed by reverse transcription-polymerase chain reaction and Western blot analysis. Intravitreal injection of each rAAV vector inhibited retinal NV by 71-83% (p < 0.001) compared with contralateral control eyes in the OIR mouse. Injection and expression of these peptides did not seem to affect the normal appearance of the retina. The results demonstrated that exon 6- and 7-derived VEGF peptides effectively inhibited oxygen-induced retinal NV. Therefore, these VEGF peptides have potential in the treatment of angiogenesis-associated retinal diseases in humans.		True	False
17065527	Pathological but not physiological retinal neovascularization is altered in TNF-Rp55-receptor-deficient mice.	Tumor necrosis factor (TNF)-alpha is one of the major cytokines in inflammation and apoptosis. It has been demonstrated that inhibition of TNFalpha can reduce leukocyte adhesion, vascular leakage, and apoptotic endothelial cell death in diabetes. This study was conducted to investigate the effect of TNF-Rp55 and TNF-Rp75 on retinal development in oxygen-induced retinopathy. TNF-Rp55- and TNF-Rp75-deficient mice, as well as their respective wild-type controls, were exposed to 75% oxygen from postnatal day P7 to P12. Retinal vascularization was investigated in flatmount preparations after concanavalin A labeling of endothelial cells on days P6, P14, P17, and P20. Retinal mRNA expression of VEGF, angiopoietin-1 and -2, and PDGF was examined at days P14 and P20. TNF-Rp55- and TNF-Rp75-deficient mice demonstrated similar retinal development and vascularization under normoxic conditions. In comparison to wild-type mice, the vascularized area remained stable during the observation time, although the gene expression of VEGF, angiopoietin (ang)-1 and -2, and PDGFb changed. Compared with that in the wild type mice, the relative expression of VEGF, ang-1, ang-2, and PDGFb changed 5.14-, 1.7-, 0.39-, and 0.36-fold in Rp55(-/-) mice and 4.1-, 9.5 x 10(-5)-, 0.12-, and 2975-fold in Rp75(-/-) mice, respectively. Treatment with oxygen resulted in a significantly reduced vascularization in Rp55(-/-) but not Rp75(-/-) mice on postnatal day (P)20. Inhibition of TNFalpha via TNF-Rp55 can alter retinal development and angiogenesis in a model of oxygen-induced retinopathy. The data underscore the potential effectiveness of TNF-inhibitory treatments as modulators in oxygen-induced retinopathy.		True	False
17685494	Helper-dependent adenovirus for the gene therapy of proliferative retinopathies: stable gene transfer, regulated gene expression and therapeutic efficacy.	Ocular neovascular disorders, such as diabetic retinopathy and age-related macular degeneration, are the principal causes of blindness in developed countries. Current treatments are of limited efficacy, whereas a therapy based on intraocular gene transfer of angiostatic factors represents a promising alternative. For the first time we have explored the potential of helper-dependent adenovirus (HD-Ad), the last generation of Ad vectors, in the therapy of retinal neovascularization. We first analyzed efficiency and stability of intraretinal gene transfer following intravitreous injection in mice. A HD-Ad vector expressing green fluorescent protein (GFP) under the control of the cytomegalovirus (CMV) promoter (HD-Ad/GFP) was compared with a first-generation (E1/E3-deleted) Ad vector carrying an identical GFP expression cassette (FG-Ad/GFP). We also constructed HD-Ad vectors expressing a soluble form of the VEGF receptor (sFlt-1) in a constitutive (HD-Ad/sFlt-1) or doxycycline (dox)-inducible (HD-Ad/S-M2/sFlt-1) manner and tested their therapeutic efficacy upon intravitreous delivery in a rat model of oxygen-induced retinopathy (OIR). HD-Ad/GFP promoted long-lasting (up to 1 year) transgene expression in retinal Müller cells, in marked contrast with the short-term expression observed with FG-Ad/GFP. Intravitreous injection of HD-Ad vectors expressing sFlt-1 resulted in detectable levels of sFlt-1 and inhibited retinal neovascularization by more than 60% in a rat model of OIR. Notably, the therapeutic efficacy of the inducible vector HD-Ad/S-M2/sFlt-1 was strictly dox-dependent. HD-Ad vectors enable stable gene transfer and regulated expression of angiostatic factors following intravitreous injection and thus are attractive vehicles for the gene therapy of neovascular diseases of the retina.		True	False
18838407	Comprehensive gene-expression profile in murine oxygen-induced retinopathy.	To investigate the correlation between the clinical course and gene-expression pattern in murine oxygen-induced retinopathy (OIR), a commonly used model of retinopathy of prematurity (ROP). OIR was induced in C57BL/6N mice by placing postnatal day 7 (P7) pups in 75% oxygen for 5 days. The clinical course of the OIR was evaluated on retinal flat-mounts after fluorescein isothiocyanate-conjugated dextran perfusion from P12 to P21. The expression values of 94 genes, selected by microarray analyses, were determined daily from P12 through P21 by RT-PCR with TaqMan low-density array (TLDA) and analysed by hierarchical clustering. TLDA cluster analyses showed a homology of gene-expression pattern between P12 and P13 and between P16 and P17. Many genes associated with inflammation were upregulated on P12 and P13 when the degree of both central avascular area and central vasoconstriction were maximal, and the upregulation of the genes continued to P21. At P16 and P17 when extraretinal neovascularisation became most noticeable, several genes associated with angiogenesis, for example, vascular endothelial growth factor-A and angiopoietin-2, were most upregulated. The gene-expression pattern was well correlated with the clinical appearance in murine OIR. These findings should contribute to the understanding of the pathological conditions in ROP.		True	False
19718802	N-hydroxy-7-(2-naphthylthio) heptanomide inhibits retinal and choroidal angiogenesis.	Histone deacetylase (HDAC) is a key enzyme regulating gene expression, including angiogenic cytokine expression. We have previously identified a novel synthetic HDAC inhibitor, known as N-hydroxy-7-(2-naphthylthio) heptanomide (HNHA), with antitumor properties. Here, we investigated the antiangiogenic properties of this small synthetic molecule both in vitro and in vivo. HNHA inhibited nuclear HDAC enzyme activity in human umbilical endothelial cells (HUVECs), an effect accompanied by histone hyperacetylation, p21 upregulation, and cell cycle arrest. HNHA also inhibited vascular endothelial growth factor-induced tube formation and migration of HUVECs, in the absence of any detectable cellular toxicity. Intravitreous injection of HNHA into mice inhibited retinal neovascularization associated with oxygen-induced retinopathy (OIR) and laser-induced choroidal neovascularization (CNV), as determined through fluorescence angiography and vessel counting. Retinas from HNHA-treated animals had a normal histological appearance without any detectable increase in terminal deoxynucleotidyl transferase-mediated dUTP nick-end labeling-positive cells, showing that this compound did not induce retinal toxicity. These findings indicate that HNHA has direct antiangiogenic effects and may be an effective strategy for inhibiting the pathological retinal and choroidal neovascularization underlying blinding eye diseases.		True	False
19834031	Identification of genes and pathways involved in retinal neovascularization by microarray analysis of two animal models of retinal angiogenesis.	Comparative retinal gene expression analysis in two rodent models of oxygen-induced retinopathy (OIR) was performed to identify the genes and pathways involved in retinal neovascularization. Three independent experimental runs were conducted for each species, according to standard protocols for induction of OIR. Total retinal RNA was isolated at two time points, corresponding to the early response to relative hypoxia (P13 in mouse, P15 in rat) and to the later phase of maximum retinal neovascularization (P18 in mouse, P20 in rat) and was used to prepare labeled probes for hybridization. Gene expression was compared between normal and experimental conditions for each species at each time point. Probesets with a false-discovery rate of <or=0.05 were considered significantly different and were classified as cellular functions or biological pathways. Changes in expression of selected genes were confirmed by quantitative rtPCR. At the early time point, there were changes in 43 genes in each species, with two in common. Increased expression of members of the VEGF and ephrin receptor signaling pathways were identified in both models. At the later time point, there were changes in 26 genes in the rat and in 1622 in the mouse, with 13 in common. Four pathways were identified in both models. Genes and pathways known to be involved in angiogenesis, as well as other biologically plausible genes and pathways, were identified. This work serves as a comprehensive resource for the study of retinal neovascularization and identification of potential rational targets for antiangiogenic therapy.		True	False
20220049	Gene expression profile of hyperoxic and hypoxic retinas in a mouse model of oxygen-induced retinopathy.	To determine a profile of gene expression in retinas of a murine model of oxygen-induced retinopathy (OIR). OIR was induced in C57BL/6N mice by exposing postnatal day (P)7 pups to 75% oxygen for 5 days and then returning them to room air at P12. Gene microarrays containing more than 47,000 transcripts were used to study the changes in gene expression in retinas isolated immediately (P12) and at 12 hours (P12.5) after exposure to hyperoxia. The retinas of P12 mice raised under normoxic conditions served as control subjects. Quantitative RT-PCR and multiplex ELISA were performed to validate the microarray analyses. The expression of 83 gene transcripts was significantly altered in the hyperoxic P12 retinas. These genes were classified as cellular components or were associated with development, metabolism, transport, stress response, cell adhesion, inflammation, or vision. The genes related to retinal growth, such as Pdgfb and Robo4, which are associated with vascular development, were downregulated. In contrast, the expression levels of 95 genes were significantly altered in the hypoxic P12.5 retinas, which contained several known hypoxia-regulated genes including Vegfa and Hif1a. The differentially expressed genes were broadly clustered into the development, inflammation, metabolism, signaling, antiapoptosis, cellular component, transport, glycolysis, and vision groups. Those associated with organogenesis (e.g., Vegfa, Igfbp3, Tnfrsf12a, and Nestin) and to inflammation (e.g., Ccl3, Ccl4, and MHCs) were upregulated. The results of quantitative RT-PCR and multiplex ELISA were in agreement with the microarray data. These alterations in gene expression may determine the hyperoxic growth retardation, postischemic inflammation, neovascularization, and remodeling in retinas of murine OIR.		True	False
20610844	Genetic inactivation of the adenosine A2A receptor attenuates pathologic but not developmental angiogenesis in the mouse retina.	The adenosine A(2A) receptor (A(2A)R) modulates normal vascularization and pathologic angiogenesis in many tissues and may contribute to the pathogenesis of retinopathy of prematurity (ROP) characterized by abnormal retinal vascularization in surviving premature infants. Here, the authors studied the effects of the genetic inactivation of A(2A)R on normal retinal vascularization and the development of pathologic angiogenesis in oxygen-induced retinopathy (OIR), an animal model of ROP. After exposure to 75% oxygen for 5 days (postnatal day [P] 7-P12) and subsequently to room air for the next 9 days (P13-P21), we evaluated retinal vascular morphology by ADPase staining in retinal whole mounts, retinal neovascularization response by histochemistry in serial retinal sections, and retinal VEGF gene expression by real-time PCR analysis in A(2A)R knockout (KO) mice and their wild-type (WT) littermates. At P17, A(2A)R KO mice displayed attenuated OIR compared with WT littermates, as evidenced by reduced vaso-obliteration and areas of nonperfusion in the center of the retina, reduced pathologic angiogenesis as evident by decreased non-ganglion cells and neovascular nuclei, and inhibited hypoxia-induced retinal VEGF gene expression. Notably, the attenuation of pathologic angiogenesis by A(2A)R inactivation was selective for OIR because it did not affect normal retinal vascularization during postnatal development. These findings provide the first evidence that A(2A)R is critical for the development of OIR and suggest a novel therapeutic approach of A(2A)R inactivation for ROP by selectively targeting pathologic but not developmental angiogenesis in the retina.		True	False
21414312	Inhibition of hypoxia-induced retinal neovascularization in mice with short hairpin RNA targeting Rac1, possibly via blockading redox signaling.	NADPH oxidase-derived reactive oxygen species are involved in angiogenesis in vitro and regulated by ras-related C3 botulinum toxin substrate 1 (Rac1). This study has employed vector-based short hairpin RNA targeting Rac1 (Rac1-shRNA) to investigate the inhibitory effect on hypoxia-induced retinal neovascularization (RN) in vivo and the underlying mechanism. pSUPER-Rac1-shRNA was intravitreally injected into the mouse model of oxygen-induced retinopathy. RN was evaluated by FITC-dextran angiography and quantitated histologically. Expressions of Rac1, nuclear factor kappa B (NF-κB) subunit p65, hypoxia-inducible factor-1 alpha (HIF-1α), and vascular endothelial growth factor (VEGF) were determined by real-time quantitative RT-PCR and western blotting. After intravitreal administration of pSUPER-Rac1-shRNA, retinal Rac1 gene expression was reduced by 72% at postnatal day 17 (P17). Retinal flat mount and quantification of the neovascular nuclei demonstrated that RN was significantly inhibited. Meanwhile, the expression levels of NF-κB and HIF-1α, the redox-dependent transcription factors, were significantly downregulated. HIF-1α and its downstream gene VEGF were found to be significantly decreased at both transcriptional and translational levels. Our findings not only suggest that Rac1 may be involved in the process of RN in mouse oxygen-induced retinopathy via regulating the redox signaling, but may also provide a novel therapeutic target for hypoxia-induced retinal neovascular diseases.		True	False
