pmid	title	journal	pubdate	doi	pmc	pubmed_url	decision	screening_note
16198337	Downregulation of vascular endothelial growth factor and integrinbeta3 by endostatin in a mouse model of retinal neovascularization.	Experimental eye research	2006 Jan	10.1016/j.exer.2005.05.005		https://pubmed.ncbi.nlm.nih.gov/16198337/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
16259558	Adeno-associated virus-mediated expression of vascular endothelial growth factor peptides inhibits retinal neovascularization in a mouse model of oxygen-induced retinopathy.	Human gene therapy	2005 Nov	10.1089/hum.2005.16.1247		https://pubmed.ncbi.nlm.nih.gov/16259558/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
17065527	Pathological but not physiological retinal neovascularization is altered in TNF-Rp55-receptor-deficient mice.	Investigative ophthalmology & visual science	2006 Nov	10.1167/iovs.06-0407		https://pubmed.ncbi.nlm.nih.gov/17065527/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
17685494	Helper-dependent adenovirus for the gene therapy of proliferative retinopathies: stable gene transfer, regulated gene expression and therapeutic efficacy.	The journal of gene medicine	2007 Oct	10.1002/jgm.1083		https://pubmed.ncbi.nlm.nih.gov/17685494/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
18838407	Comprehensive gene-expression profile in murine oxygen-induced retinopathy.	The British journal of ophthalmology	2009 Jan	10.1136/bjo.2008.142646		https://pubmed.ncbi.nlm.nih.gov/18838407/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
19718802	N-hydroxy-7-(2-naphthylthio) heptanomide inhibits retinal and choroidal angiogenesis.	Molecular pharmaceutics	2009 Mar-Apr	10.1021/mp800178b		https://pubmed.ncbi.nlm.nih.gov/19718802/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
19834031	Identification of genes and pathways involved in retinal neovascularization by microarray analysis of two animal models of retinal angiogenesis.	Investigative ophthalmology & visual science	2010 Feb	10.1167/iovs.09-4006	PMC2868453	https://pubmed.ncbi.nlm.nih.gov/19834031/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
20220049	Gene expression profile of hyperoxic and hypoxic retinas in a mouse model of oxygen-induced retinopathy.	Investigative ophthalmology & visual science	2010 Aug	10.1167/iovs.09-4605		https://pubmed.ncbi.nlm.nih.gov/20220049/	DUPLICATE_REPORT_LINKED_TO_GEO	Publication report linked to a screened GEO series
20610844	Genetic inactivation of the adenosine A2A receptor attenuates pathologic but not developmental angiogenesis in the mouse retina.	Investigative ophthalmology & visual science	2010 Dec	10.1167/iovs.09-4900	PMC3261047	https://pubmed.ncbi.nlm.nih.gov/20610844/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
21414312	Inhibition of hypoxia-induced retinal neovascularization in mice with short hairpin RNA targeting Rac1, possibly via blockading redox signaling.	Experimental eye research	2011 Jun	10.1016/j.exer.2011.03.005		https://pubmed.ncbi.nlm.nih.gov/21414312/	NO_ADDITIONAL_ELIGIBLE_ACCESSION_IDENTIFIED	Title/abstract and cross-source checks did not identify an additional eligible public accession
