source	record_id	title	decision	exclusion_reason	eligibility_basis	n_deposited_samples_total	source_evidence
GEO	GSE115949	Expression profiling of microRNAs in oxygen-induced retinal neovascularization in mice	EXCLUDE	miRNA profiling; sample-level Adora2a mRNA is not recoverable		6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115949
GEO	GSE123945	Epithelial membrane protein-2 promotes VEGF signaling to promote pathological neovascular growth in retinopathy of prematurity	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	16	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123945
GEO	GSE124956	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	18	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124956
GEO	GSE130347	Murine model of oxygen-induced retinopathy - 3 time points [blood]	EXCLUDE	blood rather than retinal tissue/compartment		66	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130347
GEO	GSE130400	Murine model of oxygen-induced retinopathy - 3 time points [retina]	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	77	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130400
GEO	GSE132731	Temporo-spatial distribution and transcriptional profile of retinal microglia in the oxygen-induced retinopathy mouse model	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	16	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132731
GEO	GSE135844	Progenitor cell combination normalizes retinal vascular development by enhancing pericyte ensheathment in the oxygen-induced retinopathy (OIR) model	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	30	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135844
GEO	GSE137705	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P19]	EXCLUDE	P19 collection; not P17		12	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137705
GEO	GSE150703	Single-cell RNAseq of Normoxic and OIR mouse retina by Drop-seq	EXCLUDE	P17 contrast has only one deposited normoxia library, preventing study-level variance estimation		12	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150703
GEO	GSE150794	Effects of Aflibercept administration at 25 mg per kg body weight in retinas of mice subjected to the oxygen-induced retinopathy protocol [P50]	EXCLUDE	P50 collection; not P17		12	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150794
GEO	GSE152928	A specific RIP3+ subpopulation of microglia promotes retinopathy through a hypoxia-triggered necroptotic mechanism	EXCLUDE	one deposited library per P17 group, preventing study-level variance estimation		2	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE152928
GEO	GSE158799	C57Bl6J retina lysates in oxygen-induced retinopathy	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	16	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158799
GEO	GSE174400	Single-cell RNAseq by Dropseq of retinal endothelial cells from WT and ENOS KO mouse	EXCLUDE	P14 OIR only; no P17 contrast		6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174400
GEO	GSE194176	Expression profiles of mRNAs in the retinas of OIR wildtype, OIR IL-19 knockout and room air control mice.	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	9	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194176
GEO	GSE19886	Gene Expression Profile of Hyperoxic/hypoxic Retinas in Mouse Model of Oxygen-induced Retinopathy	EXCLUDE	collections at P8, P12 and P13; no P17 contrast		9	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19886
GEO	GSE199792	Single-cell Transcriptome Analyses Reveal Unique Microglia Types Associated with Retinal Pathological Angiogenesis	EXCLUDE	one deposited library per group, preventing study-level variance estimation		2	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199792
GEO	GSE200195	Transcriptome analysis of the oxygen induced retinopathy (OIR) model at 5 different timepoints	EXCLUDE	collections end at P16; no P17 contrast		32	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200195
GEO	GSE209654	Effect of Caspase1 deletion on oxygen-induced retinopathy in C57BL/6 mice	EXCLUDE	three days after hyperoxia withdrawal (P15), not P17		12	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE209654
GEO	GSE213362	Profiles of N6-methyladenosine modifications of circular RNAs in oxygen-induced retinopathy	EXCLUDE	m6A/circular-RNA assay; conventional sample-level Adora2a abundance is not recoverable		6	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213362
GEO	GSE216676	Metabolic reprogramming of the neovascular niche promotes regenerative angiogenesis in proliferative retinopathy	INCLUDE_PRIMARY		Eligible P17 retinal OIR-versus-normoxia deposited-sample contrast with biological replication and recoverable Adora2a	14	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216676
GEO	GSE227350	RNA sequencing of sorted P17 murine endothelial cells from the OIR model with OSM or PBS intravitreal injection at P12	EXCLUDE	P17 OIR OSM/PBS intervention only; no age-matched normoxia comparator		11	official GEO family SOFT; https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227350
