analysis_universe	model	left_out_dataset	left_out_GSM	left_out_donor_id	n_remaining	estimate	standard_error	residual_df	exact_ols_p	ci95_low	ci95_high	design_rank	condition_number	status
HIGHER_CELL_COUNT_7	M0	GSE165784	GSM5277737	Case 3	6	0.239332843345707	0.48546879150365024	4	0.6478552527333139	-1.1085446065508908	1.5872102932423047	2	1.0000000000000002	ESTIMABLE
HIGHER_CELL_COUNT_7	M0	GSE165784	GSM5690478	Case 4	6	0.9434146239905942	0.16580775557907795	4	0.004712266674280417	0.48305849260923106	1.4037707553719572	2	1.0000000000000002	ESTIMABLE
HIGHER_CELL_COUNT_7	M0	GSE165784	GSM5690479	Case 5	6	0.338458564611592	0.4704906481645145	4	0.5116980781267776	-0.9678328925261115	1.6447500217492956	2	1.0000000000000002	ESTIMABLE
HIGHER_CELL_COUNT_7	M0	GSE245561	GSM7845000	Sample 3	6	0.4591899841781457	0.44416904395468454	4	0.35962637717187423	-0.7740209837902217	1.692400952146513	2	1.0000000000000002	ESTIMABLE
HIGHER_CELL_COUNT_7	M0	GSE245561	GSM7845001	Sample 4	6	0.4540817388779029	0.4454800148204238	4	0.36569099976918285	-0.7827690677337034	1.690932545489509	2	1.0000000000000002	ESTIMABLE
HIGHER_CELL_COUNT_7	M0	GSE245561	GSM7845002	Sample 2	6	0.4921003694166106	0.4352692346180795	4	0.3214336410439097	-0.7164007664819461	1.7006015053151673	2	1.0000000000000002	ESTIMABLE
HIGHER_CELL_COUNT_7	M0	GSE245561	GSM7845003	Sample 1	6	0.45927416952798394	0.4441472833431442	4	0.35952673043762456	-0.7738763812969861	1.692424720352954	2	1.0000000000000002	ESTIMABLE
HIGHER_CELL_COUNT_7	M1	GSE165784	GSM5277737	Case 3	6	-0.3952908913471683	2.6858228813850102	3	0.8923269696686734	-8.942777996857336	8.152196214163	3	17.044743707162823	ESTIMABLE
HIGHER_CELL_COUNT_7	M1	GSE165784	GSM5690478	Case 4	6	-0.3084786615452913	0.5586621326976663	3	0.6193021393979538	-2.086390901650896	1.4694335785603132	3	17.044743707162823	ESTIMABLE
HIGHER_CELL_COUNT_7	M1	GSE165784	GSM5690479	Case 5	6	-0.3030966334089292	2.6007280491579294	3	0.914586171027802	-8.579774004499287	7.973580737681429	3	17.044743707162823	ESTIMABLE
