analysis_universe	model	dataset	GSM	donor_id	cooks_distance	leverage	externally_studentized_residual
HIGHER_CELL_COUNT_7	M0	GSE165784	GSM5277737	Case 3	0.5366283397968825	0.3269421045231491	-1.7796232406346384
HIGHER_CELL_COUNT_7	M0	GSE165784	GSM5690478	Case 4	1.0845688471842363	0.3269421045231491	5.780755831726319
HIGHER_CELL_COUNT_7	M0	GSE165784	GSM5690479	Case 5	0.13164068589481046	0.3269421045231491	-0.6973663076065075
HIGHER_CELL_COUNT_7	M0	GSE245561	GSM7845000	Sample 3	0.002208717415250098	0.21260915894420757	0.11458979081525417
HIGHER_CELL_COUNT_7	M0	GSE245561	GSM7845001	Sample 4	9.453213292872213e-05	0.26744376029494416	0.020355251030407515
HIGHER_CELL_COUNT_7	M0	GSE245561	GSM7845002	Sample 2	0.031333592940334526	0.3501140122549323	-0.3086672077852829
HIGHER_CELL_COUNT_7	M0	GSE245561	GSM7845003	Sample 1	0.007718939047531471	0.18900675493646868	0.2317420227187642
HIGHER_CELL_COUNT_7	M1	GSE165784	GSM5277737	Case 3	0.29116017877437694	0.33333333333333337	-1.5251687336130222
HIGHER_CELL_COUNT_7	M1	GSE165784	GSM5690478	Case 4	0.6399892031596818	0.3333333333333333	8.48349256947323
HIGHER_CELL_COUNT_7	M1	GSE165784	GSM5690479	Case 5	0.06780849721784435	0.33333333333333337	-0.5828283893413335
HIGHER_CELL_COUNT_7	M1	GSE245561	GSM7845000	Sample 3	0.0001398610680693498	0.34916132276227607	-0.02422176315911527
HIGHER_CELL_COUNT_7	M1	GSE245561	GSM7845001	Sample 4	0.0005244341076738645	0.2789737639060757	0.05525243667761114
HIGHER_CELL_COUNT_7	M1	GSE245561	GSM7845002	Sample 2	0.0038034256743396996	0.7808839576368816	-0.049022611624725744
HIGHER_CELL_COUNT_7	M1	GSE245561	GSM7845003	Sample 1	3.061257326449773e-05	0.5909809556947669	-0.006904458922889294
HIGHER_CELL_COUNT_7	M2	GSE165784	GSM5277737	Case 3	0.47815257629156444	0.7248559979694745	-0.7990737791308701
HIGHER_CELL_COUNT_7	M2	GSE165784	GSM5690478	Case 4	0.536206696483631	0.42148144068560334	10.249658704061437
HIGHER_CELL_COUNT_7	M2	GSE165784	GSM5690479	Case 5	0.26049035225340195	0.4414560902647753	-1.2521439955434135
HIGHER_CELL_COUNT_7	M2	GSE245561	GSM7845000	Sample 3	0.12156543126615386	0.545703813822008	0.5585429661896532
HIGHER_CELL_COUNT_7	M2	GSE245561	GSM7845001	Sample 4	0.04522632231591865	0.4420744140013234	-0.4058906523946118
HIGHER_CELL_COUNT_7	M2	GSE245561	GSM7845002	Sample 2	0.06927298874666908	0.8008138639306941	0.21685875225677181
HIGHER_CELL_COUNT_7	M2	GSE245561	GSM7845003	Sample 1	0.039353003407384	0.6236143793261217	-0.25575246476294106
EXPANDED_DONOR_9	M0	GSE165784	GSM5049905	Case 1	0.10652969684844535	0.19768137499279836	-0.9196017295542702
EXPANDED_DONOR_9	M0	GSE165784	GSM5049906	Case 2	0.10805186763285893	0.19768137499279836	-0.9270823856713388
EXPANDED_DONOR_9	M0	GSE165784	GSM5277737	Case 3	0.052424164815210936	0.1976813749927984	-0.6231849731280115
EXPANDED_DONOR_9	M0	GSE165784	GSM5690478	Case 4	0.7596917489339146	0.1976813749927984	6.663206995740687
EXPANDED_DONOR_9	M0	GSE165784	GSM5690479	Case 5	0.0015820073059850232	0.1976813749927984	-0.10501108163688284
EXPANDED_DONOR_9	M0	GSE245561	GSM7845000	Sample 3	0.006528265238604486	0.2115537814048207	0.20494197566829947
EXPANDED_DONOR_9	M0	GSE245561	GSM7845001	Sample 4	0.0009040953709607096	0.2673546477792579	-0.06519368384654899
EXPANDED_DONOR_9	M0	GSE245561	GSM7845002	Sample 2	0.053406335807854345	0.3467846990292208	-0.42137519100643517
EXPANDED_DONOR_9	M0	GSE245561	GSM7845003	Sample 1	0.018197165461900956	0.18589999682270847	0.3738900684658868
EXPANDED_DONOR_9	M1	GSE165784	GSM5049905	Case 1	0.060702001229613424	0.19999999999999996	-0.8312026025169781
EXPANDED_DONOR_9	M1	GSE165784	GSM5049906	Case 2	0.06159813959892111	0.19999999999999996	-0.8381709522394393
EXPANDED_DONOR_9	M1	GSE165784	GSM5277737	Case 3	0.02903727194338989	0.19999999999999996	-0.5552258004565008
EXPANDED_DONOR_9	M1	GSE165784	GSM5690478	Case 4	0.4731248789240598	0.19999999999999996	9.382048642594237
EXPANDED_DONOR_9	M1	GSE165784	GSM5690479	Case 5	0.0005230363349394149	0.19999999999999996	-0.07235910736707765
EXPANDED_DONOR_9	M1	GSE245561	GSM7845000	Sample 3	2.2318588478426906e-05	0.3491613227622754	-0.010198387167868325
EXPANDED_DONOR_9	M1	GSE245561	GSM7845001	Sample 4	5.193163686670789e-08	0.2789737639060755	-0.0005792684532354611
EXPANDED_DONOR_9	M1	GSE245561	GSM7845002	Sample 2	2.5222785318631922e-05	0.7808839576368825	0.004206405451944571
EXPANDED_DONOR_9	M1	GSE245561	GSM7845003	Sample 1	6.438593022610487e-05	0.5909809556947669	0.010554929861506607
EXPANDED_DONOR_9	M2	GSE165784	GSM5049905	Case 1	0.2727370951259881	0.47191828855541257	-1.1367065150667524
EXPANDED_DONOR_9	M2	GSE165784	GSM5049906	Case 2	0.04275731888791381	0.20686955701927406	-0.7770166797079073
EXPANDED_DONOR_9	M2	GSE165784	GSM5277737	Case 3	0.19623479630429885	0.6776586717101452	-0.5681567560218649
EXPANDED_DONOR_9	M2	GSE165784	GSM5690478	Case 4	0.3361207227930118	0.22050915044907632	8.767603436369015
EXPANDED_DONOR_9	M2	GSE165784	GSM5690479	Case 5	0.00023122147130618263	0.20318347058795838	-0.0538867050555083
EXPANDED_DONOR_9	M2	GSE245561	GSM7845000	Sample 3	0.0014297208195436619	0.46532785614087646	0.07255217411488905
EXPANDED_DONOR_9	M2	GSE245561	GSM7845001	Sample 4	0.0005997377979710225	0.35096795443059814	-0.05960020982523389
EXPANDED_DONOR_9	M2	GSE245561	GSM7845002	Sample 2	0.001529573913975776	0.7879914162024669	0.03629507553094835
EXPANDED_DONOR_9	M2	GSE245561	GSM7845003	Sample 1	0.0006147096224072199	0.6155736349041923	-0.035054459111637924
