analysis_universe	model	term	estimate	standard_error	t_statistic	residual_df	exact_ols_p	ci95_low	ci95_high	r_squared	adjusted_r_squared	design_rank	design_columns	condition_number	vif	interpretive_role
HIGHER_CELL_COUNT_7	M0	intercept	2.7755575615628914e-17	0.39095075025026665	7.099506932231545e-17	5	1.0	-1.0049708972217248	1.0049708972217248	0.23578755439376797	0.08294506527252166	2	2	1.0		sensitivity association model
HIGHER_CELL_COUNT_7	M0	ADORA2A_z	0.4855796066493812	0.39095075025026665	1.2420480235388678	5	0.26929856231020927	-0.5193912905723437	1.490550503871106	0.23578755439376797	0.08294506527252166	2	2	1.0	1.0	sensitivity association model
HIGHER_CELL_COUNT_7	M1	intercept	-0.9227795296074115	2.750398642012186	-0.3355075571635346	4	0.7541010883509633	-8.559110376564803	6.713551317349981	0.2572165016697422	-0.11417524749538677	3	3	17.27737556101514		sensitivity association model
HIGHER_CELL_COUNT_7	M1	ADORA2A_z	-0.30004918477878584	2.3524981639843916	-0.12754491772720322	4	0.9046641306790852	-6.831631197160045	6.231532827602474	0.2572165016697422	-0.11417524749538677	3	3	17.27737556101514	29.802749382508736	sensitivity association model
HIGHER_CELL_COUNT_7	M1	dataset_GSE245561	1.6148641768129706	4.753754068855712	0.33970292813268915	4	0.751167990370812	-11.583673038975565	14.813401392601506	0.2572165016697422	-0.11417524749538677	3	3	17.27737556101514	29.802749382508736	sensitivity association model
HIGHER_CELL_COUNT_7	M2	intercept	-2.334570826732725	3.0686438638899562	-0.7607825900570013	3	0.5021192108125474	-12.100365153600837	7.4312235001353875	0.4480486016254518	-0.10390279674909642	4	4	22.7023626362691		technical/identification sensitivity
HIGHER_CELL_COUNT_7	M2	ADORA2A_z	-1.4016774784030968	2.5793907460821974	-0.5434141688428115	3	0.6246236467883735	-9.610450028155372	6.8070950713491785	0.4480486016254518	-0.10390279674909642	4	4	22.7023626362691	36.16218732610037	technical/identification sensitivity
HIGHER_CELL_COUNT_7	M2	dataset_GSE245561	4.085498946782269	5.317406421559255	0.768325499856047	3	0.4982353529434552	-12.836861473200845	21.007859366765384	0.4480486016254518	-0.10390279674909642	4	4	22.7023626362691	37.63615896258479	technical/identification sensitivity
HIGHER_CELL_COUNT_7	M2	technical_PC1	0.35496952011700716	0.3485420172068015	1.018441113532639	3	0.3834469707181408	-0.7542467347789088	1.464185775012923	0.4480486016254518	-0.10390279674909642	4	4	22.7023626362691	1.3155919274871577	technical/identification sensitivity
EXPANDED_DONOR_9	M0	intercept	8.740220345608683e-17	0.2963169319949169	2.949618939007716e-16	7	0.9999999999999998	-0.7006782035527501	0.7006782035527503	0.3853739306918388	0.2975702065049587	2	2	1.0000000000000002		sensitivity association model
EXPANDED_DONOR_9	M0	ADORA2A_z	0.6207849311088655	0.2963169319949168	2.0950032349805605	7	0.07441823469250228	-0.07989327244388456	1.3214631346616155	0.3853739306918388	0.2975702065049587	2	2	1.0000000000000002	1.0	sensitivity association model
EXPANDED_DONOR_9	M1	intercept	-0.9086023241109398	1.7612701493563077	-0.5158790231260134	6	0.6243906030702722	-5.218275125638776	3.401070477416896	0.41229180356677453	0.21638907142236607	3	3	17.942788982057806		sensitivity association model
EXPANDED_DONOR_9	M1	ADORA2A_z	-0.3817268425625546	1.937821319465945	-0.196987636954968	6	0.8503406283119006	-5.123404794565175	4.3599511094400665	0.41229180356677453	0.21638907142236607	3	3	17.942788982057806	38.3368973476965	sensitivity association model
EXPANDED_DONOR_9	M1	dataset_GSE245561	2.044355229249615	3.8997901787167697	0.5242218518336575	6	0.6189176539335666	-7.498087576031243	11.586798034530474	0.41229180356677453	0.21638907142236607	3	3	17.942788982057806	38.3368973476965	sensitivity association model
EXPANDED_DONOR_9	M2	intercept	-1.1059682967227502	2.1646374299554743	-0.5109254240076129	5	0.6311560404792368	-6.670345954904768	4.4584093614592675	0.41687062183112145	0.06699299492979427	4	4	28.103038975784813		technical/identification sensitivity
EXPANDED_DONOR_9	M2	ADORA2A_z	-0.5514870977664681	2.281469654095828	-0.24172449402358084	5	0.8185945145820746	-6.41619154914067	5.313217353607733	0.41687062183112145	0.06699299492979427	4	4	28.103038975784813	44.63077987002652	technical/identification sensitivity
EXPANDED_DONOR_9	M2	dataset_GSE245561	2.488428667626188	4.809439777211373	0.5174050997409594	5	0.626941129420741	-9.87462986326013	14.851487198512507	0.41687062183112145	0.06699299492979427	4	4	28.103038975784813	48.97100774915043	technical/identification sensitivity
EXPANDED_DONOR_9	M2	technical_PC1	0.06015371797151277	0.30358704211370513	0.19814323283594848	5	0.8507372016353905	-0.7202416180205344	0.8405490539635601	0.41687062183112145	0.06699299492979427	4	4	28.103038975784813	1.7806701678418166	technical/identification sensitivity
