analysis_universe	signature	model	estimate	standard_error	t_statistic	residual_df	exact_ols_p	ci95_low	ci95_high	r_squared	adjusted_r_squared	design_rank	condition_number	ADORA2A_vif	genes_present_n	genes_requested_n	coverage_fraction	multiplicity_family	BH_FDR_12_tests
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	M0	0.48557960664938105	0.3909507502502667	1.2420480235388671	5	0.2692985623102093	-0.519391290572344	1.490550503871106	0.23578755439376764	0.08294506527252121	2	1.0	1.0	6	6	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.807895686930628
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	M1	-0.3000491847787868	2.352498163984392	-0.12754491772720358	4	0.9046641306790849	-6.831631197160048	6.231532827602475	0.25721650166974197	-0.11417524749538699	3	17.27737556101514	29.802749382508736	6	6	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.9657273638484619
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	M2	-1.4016774784030976	2.5793907460821974	-0.5434141688428118	3	0.6246236467883733	-9.610450028155373	6.807095071349178	0.44804860162545157	-0.10390279674909686	4	22.7023626362691	36.16218732610037	6	6	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.9571366390805827
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	M0	-0.8665564739057983	0.22319492715200748	-3.882509719029715	5	0.011612425285330071	-1.4402972994489192	-0.29281564836267737	0.7509201224680504	0.7011041469616606	2	1.0	1.0	197	200	0.985	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.06967455171198043
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	M1	0.8615289146811675	1.0408296819112197	0.827732845876559	4	0.45434679158781477	-2.028277561005815	3.75133539036815	0.8546004715412978	0.7819007073119467	3	17.27737556101514	29.802749382508736	197	200	0.985	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.9571366390805827
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	M2	0.8136698684813228	1.3222380516884402	0.6153732056359307	3	0.5818417917761683	-3.394281733820082	5.021621470782728	0.8549606430412755	0.709921286082551	4	22.7023626362691	36.16218732610037	197	200	0.985	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.9571366390805827
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	M0	0.7144254015702464	0.3129205476127102	2.2830888128652496	5	0.07126229792565968	-0.08996247412035507	1.5188132772608478	0.5104036544088077	0.4124843852905693	2	1.0	1.0	36	36	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.2850491917026387
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	M1	0.9683058681421565	1.9055592405921145	0.5081478694103861	4	0.6380910927203884	-4.322374758064244	6.258986494348557	0.5126414717244671	0.26896220758670064	3	17.27737556101514	29.802749382508736	36	36	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.9571366390805827
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	M2	0.09828679225101822	2.107110172972033	0.046645302894811065	3	0.9657273638484619	-6.607478192549543	6.80405177705158	0.6316666433085733	0.2633332866171465	4	22.7023626362691	36.16218732610037	36	36	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.9657273638484619
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	M0	0.9218888869551376	0.17327485686539607	5.320384639943938	5	0.003139180999537529	0.4764716873244681	1.367306086585807	0.8498791198913825	0.8198549438696591	2	1.0	1.0	97	97	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.03767017199445035
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	M1	0.253167598595116	1.001411618779632	0.2528107262262826	4	0.812874992143763	-2.527196788653792	3.033531985844024	0.8654050044368855	0.7981075066553283	3	17.27737556101514	29.802749382508736	97	97	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.9657273638484619
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	M2	-0.3214007793253745	0.9983338078787733	-0.3219371885324371	3	0.76862889413696	-3.4985445176489915	2.8557429589982424	0.917316639369789	0.834633278739578	4	22.7023626362691	36.16218732610037	97	97	1.0	all 4 disclosed donor-signature x 3 model ADORA2A coefficients (12 tests)	0.9657273638484619
