analysis_universe	signature	dataset	GSM	donor_id	signature_score	genes_present_n	genes_requested_n	coverage_fraction
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	GSE165784	GSM5277737	Case 3	-1.0804949113649067	6	6	1.0
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	GSE165784	GSM5690478	Case 4	0.7403694901971144	6	6	1.0
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	GSE165784	GSM5690479	Case 5	-0.7009965065529887	6	6	1.0
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	GSE245561	GSM7845000	Sample 3	0.2722435789227476	6	6	1.0
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	GSE245561	GSM7845001	Sample 4	0.28232576405255233	6	6	1.0
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	GSE245561	GSM7845002	Sample 2	0.17911939681256187	6	6	1.0
HIGHER_CELL_COUNT_7	HISTORICAL_SIX_GENE	GSE245561	GSM7845003	Sample 1	0.30743318793291896	6	6	1.0
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	GSE165784	GSM5277737	Case 3	0.45008239730121824	197	200	0.985
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	GSE165784	GSM5690478	Case 4	0.2875607111516464	197	200	0.985
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	GSE165784	GSM5690479	Case 5	0.5173433626625626	197	200	0.985
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	GSE245561	GSM7845000	Sample 3	-0.2664136358462553	197	200	0.985
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	GSE245561	GSM7845001	Sample 4	-0.036288388438762226	197	200	0.985
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	GSE245561	GSM7845002	Sample 2	-0.3563464265453132	197	200	0.985
HIGHER_CELL_COUNT_7	EXTERNAL_VEGF_RESPONSE	GSE245561	GSM7845003	Sample 1	-0.595938020285097	197	200	0.985
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	GSE165784	GSM5277737	Case 3	-0.5737583103254589	36	36	1.0
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	GSE165784	GSM5690478	Case 4	0.024486855149465803	36	36	1.0
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	GSE165784	GSM5690479	Case 5	-0.10552273296587963	36	36	1.0
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	GSE245561	GSM7845000	Sample 3	0.29455362236109806	36	36	1.0
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	GSE245561	GSM7845001	Sample 4	0.21642877688872975	36	36	1.0
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	GSE245561	GSM7845002	Sample 2	0.20400611031812327	36	36	1.0
HIGHER_CELL_COUNT_7	HALLMARK_ANGIOGENESIS	GSE245561	GSM7845003	Sample 1	-0.060194321426078404	36	36	1.0
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	GSE165784	GSM5277737	Case 3	-0.7883590608753761	97	97	1.0
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	GSE165784	GSM5690478	Case 4	-0.2030396686219802	97	97	1.0
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	GSE165784	GSM5690479	Case 5	-0.4596036308922033	97	97	1.0
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	GSE245561	GSM7845000	Sample 3	0.2986025215536651	97	97	1.0
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	GSE245561	GSM7845001	Sample 4	0.2834793128155993	97	97	1.0
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	GSE245561	GSM7845002	Sample 2	0.463588443185878	97	97	1.0
HIGHER_CELL_COUNT_7	REACTOME_VEGFA_VEGFR2	GSE245561	GSM7845003	Sample 1	0.4053320828344162	97	97	1.0
