figure	element	bbox	violation_type	status
Fig4	text:panel_label:A:A	104.4,820.5,115.4,834.5	NONE	PASS
Fig4	font:panel_label:A:A	104.4,820.5,115.4,834.5	NONE	PASS
Fig4	text:1:Coefficient (95% CI)	188.4,603.2,300.4,615.2	NONE	PASS
Fig4	font:1:Coefficient (95% CI)	188.4,603.2,300.4,615.2	NONE	PASS
Fig4	text:2:−0.3	91.8,620.7,113.6,630.7	NONE	PASS
Fig4	font:2:−0.3	91.8,620.7,113.6,630.7	NONE	PASS
Fig4	text:3:−0.2	135.7,620.7,157.6,630.7	NONE	PASS
Fig4	font:3:−0.2	135.7,620.7,157.6,630.7	NONE	PASS
Fig4	text:4:−0.1	179.6,620.7,201.5,630.7	NONE	PASS
Fig4	font:4:−0.1	179.6,620.7,201.5,630.7	NONE	PASS
Fig4	text:5:0.0	226.9,620.7,242.1,630.7	NONE	PASS
Fig4	font:5:0.0	226.9,620.7,242.1,630.7	NONE	PASS
Fig4	text:6:0.1	270.7,620.7,286.1,630.7	NONE	PASS
Fig4	font:6:0.1	270.7,620.7,286.1,630.7	NONE	PASS
Fig4	text:7:0.2	314.6,620.7,330.0,630.7	NONE	PASS
Fig4	font:7:0.2	314.6,620.7,330.0,630.7	NONE	PASS
Fig4	text:8:0.3	358.6,620.7,373.9,630.7	NONE	PASS
Fig4	font:8:0.3	358.6,620.7,373.9,630.7	NONE	PASS
Fig4	text:9:Stage	96.2,642.1,125.3,652.1	NONE	PASS
Fig4	font:9:Stage	96.2,642.1,125.3,652.1	NONE	PASS
Fig4	"text:10:Stage × peripheral
region"	33.7,787.8,125.3,809.4	NONE	PASS
Fig4	"font:10:Stage × peripheral
region"	33.7,787.8,125.3,809.4	NONE	PASS
Fig4	text:panel_title:A:GSE160306 retina	135.1,818.9,240.9,830.9	NONE	PASS
Fig4	font:panel_title:A:GSE160306 retina	135.1,818.9,240.9,830.9	NONE	PASS
Fig4	text:panel_label:B:B	458.8,820.5,469.8,834.5	NONE	PASS
Fig4	font:panel_label:B:B	458.8,820.5,469.8,834.5	NONE	PASS
Fig4	"text:13:normal
retina"	487.8,609.1,522.1,630.7	NONE	PASS
Fig4	"font:13:normal
retina"	487.8,609.1,522.1,630.7	NONE	PASS
Fig4	"text:14:inactive
FVM"	579.8,609.1,617.7,630.7	NONE	PASS
Fig4	"font:14:inactive
FVM"	579.8,609.1,617.7,630.7	NONE	PASS
Fig4	"text:15:active
FVM"	678.0,609.1,707.1,630.7	NONE	PASS
Fig4	"font:15:active
FVM"	678.0,609.1,707.1,630.7	NONE	PASS
Fig4	text:16:Deposited expression value	446.7,647.1,458.7,801.3	NONE	PASS
Fig4	font:16:Deposited expression value	446.7,647.1,458.7,801.3	NONE	PASS
Fig4	text:17:−0.5	457.9,627.5,479.7,637.5	NONE	PASS
Fig4	font:17:−0.5	457.9,627.5,479.7,637.5	NONE	PASS
Fig4	text:18:0.0	464.4,674.3,479.7,684.3	NONE	PASS
Fig4	font:18:0.0	464.4,674.3,479.7,684.3	NONE	PASS
Fig4	text:19:0.5	464.4,721.1,479.7,731.1	NONE	PASS
Fig4	font:19:0.5	464.4,721.1,479.7,731.1	NONE	PASS
Fig4	text:20:1.0	464.3,767.9,479.7,777.9	NONE	PASS
